Label	WallSeconds	PeakRAMGiB	ExitStatus	Command	MeasurementStatus
checkm2-all-candidates	666.62	13.068	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/checkm2 predict --input /workspace/wechat/Metagenome/work/article42/qc/all-candidates --output-directory /workspace/wechat/Metagenome/work/article42/qc/checkm2 --extension .fna --threads 24 --database_path /workspace/databases/metagenome-mag-qc/checkm2-v1.1.0/CheckM2_database/uniref100.KO.1.dmnd --tmpdir /workspace/wechat/Metagenome/work/article42/tmp/checkm2 --remove_intermediates	GNU time exact
convert-taxvamb-taxonomy	11.62	1.181	0	/workspace/miniconda3/envs/metagenome-binning-2026.07/bin/python /workspace/wechat/Metagenome/scripts/convert_article42_kraken_taxonomy.py --kraken-output /workspace/wechat/Metagenome/work/article42/taxonomy/contigs.kraken.tsv --nodes /workspace/databases/metagenome-kraken2/standard-8-20260626/nodes.dmp --names /workspace/databases/metagenome-kraken2/standard-8-20260626/names.dmp --output /workspace/wechat/Metagenome/work/article42/taxonomy/taxvamb-taxonomy.tsv --summary /workspace/wechat/Metagenome/work/article42/taxonomy/taxonomy-summary.tsv	GNU time exact
gunc-all-candidates	1849.13	9.16	0	/workspace/miniconda3/envs/metagenome-gunc-2026.07/bin/gunc run --input_dir /workspace/wechat/Metagenome/work/article42/qc/all-candidates --file_suffix .fna --db_file /workspace/databases/metagenome-mag-qc/gunc-progenomes2.1/gunc_db_progenomes2.1.dmnd --threads 24 --out_dir /workspace/wechat/Metagenome/work/article42/qc/gunc --temp_dir /workspace/wechat/Metagenome/work/article42/tmp/gunc --contig_taxonomy_output	GNU time exact
kraken2-contig-taxonomy	17.77	7.914	0	/workspace/miniconda3/envs/metagenome-binning-2026.07/bin/kraken2 --db /workspace/databases/metagenome-kraken2/standard-8-20260626 --threads 24 --confidence 0.05 --minimum-hit-groups 2 --report /workspace/wechat/Metagenome/work/article42/taxonomy/contigs.kreport.tsv --output /workspace/wechat/Metagenome/work/article42/taxonomy/contigs.kraken.tsv /workspace/wechat/Metagenome/work/article42/inputs/megahit-coassembly.ge1500.fna	GNU time exact
metabat2-MOCK1-only	3.59	0.837	0	/workspace/miniconda3/envs/metagenome-assembly-2026.07/bin/metabat2 -i /workspace/wechat/Metagenome/work/article42/inputs/megahit-coassembly.ge1500.fna -a /workspace/wechat/Metagenome/work/article42/inputs/jgi-depth.MOCK1-only.tsv -o /workspace/wechat/Metagenome/work/article42/bins/metabat2-MOCK1-only/bin -m 1500 -s 200000 -t 24 --seed 20260742 --saveCls	GNU time exact
metabat2-multisample	3.59	0.859	0	/workspace/miniconda3/envs/metagenome-assembly-2026.07/bin/metabat2 -i /workspace/wechat/Metagenome/work/article42/inputs/megahit-coassembly.ge1500.fna -a /workspace/wechat/Metagenome/work/article42/inputs/jgi-depth.ge1500.tsv -o /workspace/wechat/Metagenome/work/article42/bins/metabat2-multisample/bin -m 1500 -s 200000 -t 24 --seed 20260742 --saveCls	GNU time exact
semibin2-self-supervised	5046.0		0	/workspace/miniconda3/envs/metagenome-binning-2026.07/bin/SemiBin2 single_easy_bin --input-fasta /workspace/wechat/Metagenome/work/article42/inputs/megahit-coassembly.ge1500.fna --input-bam /workspace/wechat/Metagenome/work/article41/bam/MOCK1.primary.sorted.bam /workspace/wechat/Metagenome/work/article41/bam/MOCK2.primary.sorted.bam --output /workspace/wechat/Metagenome/work/article42/bins/semibin2-self-supervised --threads 24 --min-len 1500 --minfasta-kbs 200 --self-supervised --engine cpu --random-seed 20260742 --compression none --tag-output SemiBin2	wall from timestamped SemiBin2 logs; peak RAM unavailable after isolated-session retry
taxvamb-kraken2	1520.77	1.82	0	/workspace/miniconda3/envs/metagenome-binning-2026.07/bin/vamb bin taxvamb --outdir /workspace/wechat/Metagenome/work/article42/bins/taxvamb-kraken2 --fasta /workspace/wechat/Metagenome/work/article42/inputs/megahit-coassembly.ge1500.fna --abundance_tsv /workspace/wechat/Metagenome/work/article42/inputs/vamb-abundance.tsv --taxonomy /workspace/wechat/Metagenome/work/article42/taxonomy/taxvamb-taxonomy.tsv -m 1500 -p 24 --seed 20260742 --minfasta 200000 -o	GNU time exact
vamb-taxonomy-free	367.12	0.975	0	/workspace/miniconda3/envs/metagenome-binning-2026.07/bin/vamb bin default --outdir /workspace/wechat/Metagenome/work/article42/bins/vamb-taxonomy-free --fasta /workspace/wechat/Metagenome/work/article42/inputs/megahit-coassembly.ge1500.fna --abundance_tsv /workspace/wechat/Metagenome/work/article42/inputs/vamb-abundance.tsv -m 1500 -p 24 --seed 20260742 --minfasta 200000 -o	GNU time exact
