Label	Command	ReturnCode	StartedUTC	EndedUTC	Stdout	Stderr	ResourceLog
checkm2-all-candidates	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/checkm2 predict --input ${ARTICLE42_WORK_DIR}/qc/all-candidates --output-directory ${ARTICLE42_WORK_DIR}/qc/checkm2 --extension .fna --threads 24 --database_path ${HOME}/databases/metagenome-mag-qc/checkm2-v1.1.0/CheckM2_database/uniref100.KO.1.dmnd --tmpdir ${ARTICLE42_WORK_DIR}/tmp/checkm2 --remove_intermediates	0	2026-07-29T04:27:50.845228+00:00	2026-07-29T04:38:57.478866+00:00	${ARTICLE42_WORK_DIR}/logs/checkm2-all-candidates.stdout.log	${ARTICLE42_WORK_DIR}/logs/checkm2-all-candidates.stderr.log	${ARTICLE42_WORK_DIR}/logs/checkm2-all-candidates.time.txt
gunc-all-candidates	${HOME}/miniconda3/envs/metagenome-gunc-2026.07/bin/gunc run --input_dir ${ARTICLE42_WORK_DIR}/qc/all-candidates --file_suffix .fna --db_file ${HOME}/databases/metagenome-mag-qc/gunc-progenomes2.1/gunc_db_progenomes2.1.dmnd --threads 24 --out_dir ${ARTICLE42_WORK_DIR}/qc/gunc --temp_dir ${ARTICLE42_WORK_DIR}/tmp/gunc --contig_taxonomy_output	0	2026-07-29T04:38:57.481236+00:00	2026-07-29T05:09:46.615905+00:00	${ARTICLE42_WORK_DIR}/logs/gunc-all-candidates.stdout.log	${ARTICLE42_WORK_DIR}/logs/gunc-all-candidates.stderr.log	${ARTICLE42_WORK_DIR}/logs/gunc-all-candidates.time.txt
