Tool	Version	Executable
MetaBAT2	2.18	${ASSEMBLY_ENV_PREFIX}/bin/metabat2
SemiBin2	2.3.0	${BINNING_ENV_PREFIX}/bin/SemiBin2
Vamb	5.0.4	${BINNING_ENV_PREFIX}/bin/vamb
Kraken2	2.17.1	${BINNING_ENV_PREFIX}/bin/kraken2
