resource	experimenthub_id	selected_title	source_url	raw_file	raw_bytes	raw_sha256	derived_file	derived_bytes	derived_sha256	rows	samples	value_min	value_max	package_version
pathway_abundance	EH7089	2021-10-14.AsnicarF_2017.pathway_abundance	https://mghp.osn.xsede.org/bir190004-bucket01/ExperimentHub/curatedMetagenomicData/2021-10-14/AsnicarF_2017/2021-10-14.AsnicarF_2017.pathway_abundance.rda	AsnicarF_2017.pathway_abundance.rda	367712	ead7c78c075fec92a7d641b731594e068b2ba2a47479151d081c338f615af121	pathway-abundance.tsv.gz	286118	09e2ce8de478364f7b91b3ed84fc39a42b8377d8e986931b433111eca55d744b	11173	24	0	0.861157	3.12.0
pathway_coverage	EH7090	2021-10-14.AsnicarF_2017.pathway_coverage	https://mghp.osn.xsede.org/bir190004-bucket01/ExperimentHub/curatedMetagenomicData/2021-10-14/AsnicarF_2017/2021-10-14.AsnicarF_2017.pathway_coverage.rda	AsnicarF_2017.pathway_coverage.rda	262967	73a1b77b70f88e9028e8707ba3e99b93f0ff99cd91401a3966c4f7a31dbfc3a1	pathway-coverage.tsv.gz	264779	e7073fcf2717ea784bc01ae70dff46614fc69761c4788327816cbccfc6e68465	11173	24	0	1	3.12.0
