Resource	Source	File	Bytes	SHA256	Rows	Units
Sample-level MAG composition	Article 22 frozen Figshare 30284068 v2 payload	mag-relative-abundance.tsv.gz	306432	8447575babb47ed660c40f8b87a4fb9bebaf0f4b870c02dd573a4f496b74e58b	780	500
Sample metadata	Article 22 frozen Figshare 30284068 v2 payload	hot-spring-sample-metadata.tsv	91461	999fd1f521712651d903163b4d238adbe2ad256cbd2c74a5174b62e2a608cc23	500	500
Sample recruitment	Article 22 frozen Figshare 30284068 v2 payload	mag-recruitment.tsv	8806	2f5858c591e0e2ca5c8a026edfa97c8de43d94504af0f9426c83db0408a89c3a	500	500
Equal-sample spring composition	Deterministic Article 23 derivation	spring-mag-relative-abundance.tsv.gz	193502	b37278a7640c76fca357ad16105d835f745693e9799b4e163b6171cbb6df63a8	780	56
Catalog-read-weighted spring composition	Deterministic Article 23 derivation	spring-mag-recruitment-weighted.tsv.gz	200774	eef71f5bd33cf70f0e8c41323c1066ebfbe52c1a3d0c71f697103e55b8f66533	780	56
Spring metadata	Deterministic Article 23 derivation	spring-metadata.tsv	9070	943b7d213d0fa6eb4153e9812989f403d9063ceaf468b1137e956aee0ad9cee6	56	56
Sample-to-spring ledger	Deterministic Article 23 derivation	sample-to-spring-ledger.tsv	49248	69cf850c9b673b78f18337d25c3c128a2b1e967f5a1a25af71954ac834189299	500	500
Analysis contract	Deterministic Article 23 derivation	analysis-contract.tsv	1324	1b05825ca6e7c0d51c6bd4025fb35603769c5f681cc62d2d15f844b98422702a	20	56
Temperature-regime contract	Deterministic Article 23 derivation	temperature-regime-contract.tsv	196	cc6c4a841b91d1abde983e97b4e109281796807b9a51e6a917e08c3e8109283f	5	56
