Order	Label	LowerInclusiveC	UpperExclusiveC	Springs	RuleLockedBeforeInference
1	Below 30		30	3	TRUE
2	30–<50	30	50	16	TRUE
3	50–<70	50	70	30	TRUE
4	70–<80	70	80	4	TRUE
5	80–100	80		3	TRUE
