Branch	Contigs	Bases	LargestBp	N50Bp	L50	Status
spades-short-only	20647	141314393	1630363	26020	774	PASS
spades-illumina-ont	11064	159368905	4637260	72626	259	PASS
spades-illumina-hifi	9751	168451875	5489345	72242	296	PASS
flye-ont	2423	143770812	7136817	441240	47	PASS
flye-ont-polypolish-default	2423	143898052	7146565	440931	47	PASS
flye-ont-polypolish-careful	2423	143893598	7146324	440979	47	PASS
flye-hifi	806	169457769	7147007	2013697	22	PASS
