Branch	RecoveredGe90Pct	FullGenomesGe99Pct	GenomeFractionPct	MismatchesPer100Kbp	IndelsPer100Kbp	Status
spades-short-only	37	12	59.717	73.69	7.58	PASS
spades-illumina-ont	40	22	64.653	163.7	97.21	PASS
spades-illumina-hifi	42	28	69.266	142.46	11.82	PASS
flye-ont	32	24	51.572	370.94	839.52	PASS
flye-ont-polypolish-default	34	24	53.149	296.44	481.12	PASS
flye-ont-polypolish-careful	34	24	53.066	301.49	503.7	PASS
flye-hifi	43	36	70.125	8.11	10.42	PASS
