Stage	Mate	Reads	Bases	Status
selection	R1	10000000	1497641905	PASS
selection	R2	10000000	1481707773	PASS
fastp-before	paired	20000000	2979349678	PASS
fastp-after	paired	19998640	2979266463	PASS
fastp-clean	R1	9999320	1497590756	PASS
fastp-clean	R2	9999320	1481675707	PASS
