Cohort	Diagnosis	Subjects	AntibioticKnown	AntibioticExposed	CalprotectinKnown
PRISM	CD	68	66	13	48
PRISM	Control	34	34	0	20
PRISM	UC	53	52	5	25
Validation	CD	20	20	0	17
Validation	Control	22	22	0	22
Validation	UC	23	23	0	21
