Model	Direction	AIC	Parameters	N	IndependenceClaims	FisherC	FisherDF	FisherP	Saturated	DeltaAIC
Primary partial-path model	Antibiotic -> Shannon -> calprotectin; antibiotic -> calprotectin	462.062	19	90	0	NA	0	NA	TRUE	0
Constrained microbiome-only path	Antibiotic -> Shannon -> calprotectin	463.131	18	90	1	4.655	2	0.098	FALSE	1.06899999999996
Reverse cross-sectional orientation	Antibiotic -> calprotectin -> Shannon; antibiotic -> Shannon	462.062	19	90	0	NA	0	NA	TRUE	0
