Model	N	R2	AdjustedR2	ConditionNumber	BreuschPaganStatistic	BreuschPaganP	MaximumCookDistance	CookAbove4OverN	MaximumAbsoluteResidual
Microbiome node	90	0.444313713015448	0.39687707876067	7.0682251354182	4.58288518363423	0.710714883384316	0.126772364218176	7	2.59539224904661
Phenotype node	90	0.298163459424447	0.2288462702318	7.43490475047339	13.0129371828936	0.11140525867398	0.142491927950708	7	1.90925441405494
Total-association node	90	0.286203914683767	0.225270102522625	7.0682251354182	11.1359961821697	0.132795960649361	0.128782353348524	8	1.85121364586466
