Model	Effect	Estimate	CILower	CIUpper	BootstrapP	ValidBootstrap	RequestedBootstrap	TrueValue
Simulated positive control	A	-0.694106738833697	-0.857384344142544	-0.549230884776233	0	2000	2000	-0.6
Simulated positive control	B	-0.26255083162166	-0.359395677061306	-0.161554102366874	0	2000	2000	-0.3
Simulated positive control	Direct	-0.118731238963679	-0.306285682097173	0.0781991726030993	0.249	2000	2000	-0.15
Simulated positive control	Indirect	0.182238301514986	0.10770740005394	0.26757051879653	0	2000	2000	0.18
Simulated positive control	Total	0.0635070625513064	-0.125791853329531	0.250216897191083	0.502	2000	2000	0.03
