Variable	Type	IncludedN	ExcludedN	IncludedObserved	ExcludedObserved	IncludedMissingPct	ExcludedMissingPct	IncludedSummary	ExcludedSummary	StandardizedDifference
Age, years	Continuous	90	65	90	65	0	0	41.26 (16.95)	42.29 (17.14)	-0.0608241043401867
log1p fecal calprotectin	Continuous	90	65	90	3	0	95.3846153846154	4.00 (1.53)	3.33 (1.16)	0.492055656449631
Genus-profile Shannon	Continuous	90	65	90	65	0	0	3.19 (0.62)	3.21 (0.67)	-0.0239181638847915
Antibiotic exposed	Binary	90	65	90	62	0	4.61538461538462	13/90 (14.4%)	5/62 (8.1%)	0.202910049251104
Crohn disease	Binary	90	65	90	65	0	0	46/90 (51.1%)	22/65 (33.8%)	0.354724583354145
Ulcerative colitis	Binary	90	65	90	65	0	0	24/90 (26.7%)	29/65 (44.6%)	-0.381518130172329
Immunosuppressant	Binary	90	65	90	65	0	0	38/90 (42.2%)	17/65 (26.2%)	0.343718718226929
Mesalamine	Binary	90	65	90	63	0	3.07692307692308	18/90 (20.0%)	26/63 (41.3%)	-0.474200381804878
Steroids	Binary	90	65	90	63	0	3.07692307692308	21/90 (23.3%)	10/63 (15.9%)	0.188755781181601
