CohortModel	N	AntibioticExposed	Estimate	RobustSE	CILower	CIUpper	PValue	R2
PRISM same-variable model	90	13	-0.0696552533023216	0.136446472153862	-0.337090338723891	0.197779832119247	0.61107620588278	0.273817258931642
Validation same-variable model	38	0	0.0523204795602166	0.155443312197778	-0.252348412347428	0.356989371467861	0.738694892053483	0.19683146322644
