Branch	Blocks	MedianMicrobes	MedianMetabolites	MaximumPairCells	BestAdjustedP	MarginalSignificantPairs
Covariate-adjusted	1970	1.0	1.0	180	1.1071409718711798e-11	4416
Raw sensitivity	2387	1.0	1.0	1786	1.9908115547253608e-16	7845
