Sample	RunAccession	BAM	BAMSource	BAMSHA256	BAMBytes	Mapper	BAMState
MOCK1	ERR9765746	/workspace/wechat/Metagenome/work/article50/inputs/MOCK1.identity95.unfiltered.bam	/workspace/wechat/Metagenome/work/article48/bam/identity95/coverm-genome.ERR9765746_clean_R1.fastq.gz.bam	d240f1b552752e0b1e1b6a905665e01290f8f649ac8c12212b5d0a58daad7921	306608154	Strobealign 0.17.0 via CoverM 0.8.0	coordinate-sorted unfiltered cache; inStrain applies pair filters
MOCK2	ERR9765747	/workspace/wechat/Metagenome/work/article50/inputs/MOCK2.identity95.unfiltered.bam	/workspace/wechat/Metagenome/work/article48/bam/identity95/coverm-genome.ERR9765747_clean_R1.fastq.gz.bam	bc010b62e3f5d511a16cfb8303585655335b1f768df85b23df06f879bc24842e	329160216	Strobealign 0.17.0 via CoverM 0.8.0	coordinate-sorted unfiltered cache; inStrain applies pair filters
