Label	ExitStatus	Command	Stdout	Stderr	TimeLog
samtools-index-mock1	0	conda run -n metagenome-instrain-2026.07 samtools index -@ 24 -o ${ARTICLE50_WORK_DIR}/inputs/MOCK1.identity95.unfiltered.bam.bai ${ARTICLE50_WORK_DIR}/inputs/MOCK1.identity95.unfiltered.bam	${ARTICLE50_WORK_DIR}/logs/samtools-index-mock1.stdout.log	${ARTICLE50_WORK_DIR}/logs/samtools-index-mock1.stderr.log	${ARTICLE50_WORK_DIR}/logs/samtools-index-mock1.time.txt
samtools-index-mock2	0	conda run -n metagenome-instrain-2026.07 samtools index -@ 24 -o ${ARTICLE50_WORK_DIR}/inputs/MOCK2.identity95.unfiltered.bam.bai ${ARTICLE50_WORK_DIR}/inputs/MOCK2.identity95.unfiltered.bam	${ARTICLE50_WORK_DIR}/logs/samtools-index-mock2.stdout.log	${ARTICLE50_WORK_DIR}/logs/samtools-index-mock2.stderr.log	${ARTICLE50_WORK_DIR}/logs/samtools-index-mock2.time.txt
instrain-profile-mock1	0	conda run -n metagenome-instrain-2026.07 inStrain profile ${ARTICLE50_WORK_DIR}/inputs/MOCK1.identity95.unfiltered.bam ${ARTICLE50_WORK_DIR}/inputs/article50-sgb-catalog.fna -o ${ARTICLE50_WORK_DIR}/profiles/MOCK1 -p 24 -s ${ARTICLE50_WORK_DIR}/inputs/article50-scaffold-to-bin.tsv --min_read_ani 0.95 --min_mapq 2 --pairing_filter paired_only --min_cov 5 --min_freq 0.05 --fdr 1e-06 --rarefied_coverage 1000000000 --skip_mm_profiling --skip_plot_generation --force_compress	${ARTICLE50_WORK_DIR}/logs/instrain-profile-mock1.stdout.log	${ARTICLE50_WORK_DIR}/logs/instrain-profile-mock1.stderr.log	${ARTICLE50_WORK_DIR}/logs/instrain-profile-mock1.time.txt
instrain-profile-mock2	0	conda run -n metagenome-instrain-2026.07 inStrain profile ${ARTICLE50_WORK_DIR}/inputs/MOCK2.identity95.unfiltered.bam ${ARTICLE50_WORK_DIR}/inputs/article50-sgb-catalog.fna -o ${ARTICLE50_WORK_DIR}/profiles/MOCK2 -p 24 -s ${ARTICLE50_WORK_DIR}/inputs/article50-scaffold-to-bin.tsv --min_read_ani 0.95 --min_mapq 2 --pairing_filter paired_only --min_cov 5 --min_freq 0.05 --fdr 1e-06 --rarefied_coverage 1000000000 --skip_mm_profiling --skip_plot_generation --force_compress	${ARTICLE50_WORK_DIR}/logs/instrain-profile-mock2.stdout.log	${ARTICLE50_WORK_DIR}/logs/instrain-profile-mock2.stderr.log	${ARTICLE50_WORK_DIR}/logs/instrain-profile-mock2.time.txt
instrain-compare	0	conda run -n metagenome-instrain-2026.07 inStrain compare -i ${ARTICLE50_WORK_DIR}/profiles/MOCK1 ${ARTICLE50_WORK_DIR}/profiles/MOCK2 -o ${ARTICLE50_WORK_DIR}/comparison/MOCK1-vs-MOCK2 -p 24 -s ${ARTICLE50_WORK_DIR}/inputs/article50-scaffold-to-bin.tsv --min_cov 5 --min_freq 0.05 --fdr 1e-06 --database_mode --breadth 0.5 --ani_threshold 0.99999 --coverage_treshold 0.5 --store_mismatch_locations --skip_plot_generation --force_compress	${ARTICLE50_WORK_DIR}/logs/instrain-compare.stdout.log	${ARTICLE50_WORK_DIR}/logs/instrain-compare.stderr.log	${ARTICLE50_WORK_DIR}/logs/instrain-compare.time.txt
