Tool	Version	Executable
Flye	2.9.6-b1802	${LONG_READ_ENV_PREFIX}/bin/flye
metaMDBG	1.4	${LONG_READ_ENV_PREFIX}/bin/metaMDBG
minimap2	2.31-r1302	${LONG_READ_ENV_PREFIX}/bin/minimap2
samtools	1.23.1	${LONG_READ_ENV_PREFIX}/bin/samtools
SeqKit	2.11.0	${LONG_READ_ENV_PREFIX}/bin/seqkit
Python	3.10.20	${LONG_READ_ENV_PREFIX}/bin/python
hifiasm-meta release	0.3.5-r81	${ARTICLE31_RAW_DIR}/tools/bin/hifiasm_meta
hifiasm-meta embedded	ha base version: 0.13-r308;hamt version: 0.3-r079	${ARTICLE31_RAW_DIR}/tools/bin/hifiasm_meta
