PlatformKey	DisplayLabel	RunAccession	SampleAccession	LibraryLayout	ENAReadCount	ENABaseCount	MeanReadLengthBp	ReadLengthSDBp	MaximumReadLengthBp	MeanInsertSizeBp	InsertSizeSDBp	MappedPercent	UniquelyMappedPercent	MeanMappedIdentityPercent	MeanMappedSubstitutionPercent	MeanMappedIndelPercent	AssemblyInput	AssemblyN50Bp	LargestContigBp	GenomeFractionPercent	AssemblyMismatchesPer100kb	AssemblyIndelsPer100kb	FullyUnalignedContigs	RecoveredFullGenomes	MetricScope
ONT	ONT MinION R9	ERR9765780	SAMEA14435832	Single	696944	3125920499	4408.41	2831.95	60869			99.75	99.63	89.08	3.37	7.55	0.696 million reads	759940	4324150	44.955	339.99	764.45	231	22	Meslier et al. 2022 MOCK1 Tables 1-3; ENA run metadata for official accession and totals
PacBio	PacBio Sequel II CCS	ERR9765783	SAMEA14435832	Single	524805	5400038744	10289.7	4036.27	40278			99.65	99.62	99.72	0.06	0.22	0.524 million reads	2013697	7147004	68.197	18.3	11.76	6	36	Meslier et al. 2022 MOCK1 Tables 1-3; ENA run metadata for official accession and totals
