Branch	Assembler	Platform	Filter	RetainedContigs	RetainedBases	CompressedBytes	CompressedSHA256
flye-ont-r9	Flye	ONT R9	length>=1000 bp	2423	143770812	42305013	a8729310ea74377fa2f343ddf089c2d0ec3b6c73b5548c7e71d3f517458c9a65
flye-hifi	Flye	PacBio HiFi	length>=1000 bp	806	169457769	49598380	f2a3c5482381759887413aeb6a2841b4805d0f3b13f3ed5c3cf6d32075ed6f17
hifiasm-meta-hifi	hifiasm-meta	PacBio HiFi	length>=1000 bp	885	170075586	49845583	1dec32dc675062a03cba669919aca3330ded9c7d7d35a231335b511883c645f5
metamdbg-hifi	metaMDBG	PacBio HiFi	length>=1000 bp	1249	179428525	52608453	d50bd6d9051d888fe5cf77128db1be4a047237b9752079a2df4225534a1fc747
