Domain	InputQueryMAGs	QueryMAGs	ExcludedQueryMAGs	ExcludedQueryIDs	UniqueReferenceTips	TreeTips	AlignmentSites	MedianTipOccupancyPct	BestFitModel	Seed	AlignmentSHA256	TreeSHA256	SupportedInternalBranches	MedianSHaLRT	PctSHaLRTGe80	MedianUFBoot	PctUFBootGe95
Bacteria	16	15	1	SGB_015	16	31	10733	86.11758129134445	LG+I+R4	20260747	f62ab42a2e0f9ba0239a7d7edb122076bccd38fe6856cca752fffd2a9766d71b	170a900ec4e8b98f513b3de41a5ee7fe8a0d4590dbe7721e7db8438715b9a09c	28	100.0	96.428571	100.0	89.285714
Archaea	8	8	0		8	16	14804	89.63118076195623	LG+F+I+R3	20260748	c5a0d160c7d783e454a37d79bd1f984f97ac2ffec4dadb1d0e91ff673d810e04	a597cab20969868c7fff32302304ad56fccdfc859e98141f782a9a8cba3d347c	13	100.0	100.0	100.0	100.0
