Domain	Rank	ResolvedSGBs	UnresolvedSGBs	SGBs
d__Archaea	Domain	8	0	8
d__Bacteria	Domain	16	0	16
d__Archaea	Phylum	8	0	8
d__Bacteria	Phylum	16	0	16
d__Archaea	Class	8	0	8
d__Bacteria	Class	16	0	16
d__Archaea	Order	8	0	8
d__Bacteria	Order	16	0	16
d__Archaea	Family	8	0	8
d__Bacteria	Family	16	0	16
d__Archaea	Genus	8	0	8
d__Bacteria	Genus	16	0	16
d__Archaea	Species	8	0	8
d__Bacteria	Species	16	0	16
