Component	Version	RequiredVersion	SourceLock	SourceArchiveSHA256
R	4.5.2	4.5.2	Conda explicit lock	
maaslin3	1.5.3	1.5.3	Git commit 3a194ece449ef249354df394b58bfe3e6f951ca3	358f35e094e03026c8d694d731c0d1e1e6c9a15dec3c466649b9db9329ca1f07
ANCOMBC	2.12.0	2.12.0	Bioconductor 3.22 / conda package	
ALDEx2	1.42.0	1.42.0	Bioconductor 3.22 source release	
ggplot2	4.0.2		Conda explicit lock	
patchwork	1.3.2		Conda plus R package lock	
digest	0.6.39		Conda explicit lock	
jsonlite	2.0.0		Conda explicit lock	
