Method	Variant	Units	Features	Formula	Seed	Primary	SignificantFDR05	SharedWithPrimary	EffectSpearmanWithPrimary	DirectionAgreementWithPrimary	EffectScale	InputScale	Notes
MaAsLin3	Primary median comparison	110	212	~ disease + z_age + gender + z_BMI + z_log10_reads	20260724	TRUE	7	212	1	1	log2 relative-abundance coefficient	Relative fraction	Per-metadatum median null
MaAsLin3	Median comparison off	110	212	~ disease + z_age + gender + z_BMI + z_log10_reads	20260724	FALSE	5	212	1	1	log2 relative-abundance coefficient	Relative fraction	Zero null on the relative scale
MaAsLin3	Species threshold prevalence >=20%	110	149	~ disease + z_age + gender + z_BMI + z_log10_reads	20260724	FALSE	3	149	0.999753310357337	0.986577181208054	log2 relative-abundance coefficient	Relative fraction	Feature-universe sensitivity
MaAsLin3	Remove BMI; complete cases	114	212	~ disease + z_age + gender + z_log10_reads	20260724	FALSE	7	212	0.945403361916208	0.928571428571429	log2 relative-abundance coefficient	Relative fraction	Covariate and sample-set sensitivity
MaAsLin3	Ordered Control-Adenoma-CRC score	151	212	~ progression_score + z_age + gender + z_BMI + z_log10_reads	20260724	FALSE	8	212	0.969511456366034	0.947619047619048	log2 relative-abundance coefficient	Relative fraction	Linear ordinal-trend sensitivity; score fixed to 0/1/2
ANCOM-BC2	Primary predeclared universe	110	212	disease + z_age + gender + z_BMI	20260724	FALSE	1	212	1	1	natural-log ANCOM-BC2 coefficient	Reconstructed pseudo-count	pseudo_sens=TRUE; only robust hits are counted
ANCOM-BC2	No predeclared feature filter	110	634	disease + z_age + gender + z_BMI	20260724	FALSE	2	212	0.999466136258354	0.904761904761905	natural-log ANCOM-BC2 coefficient	Reconstructed pseudo-count	634 non-all-zero species; method sensitivity only
ALDEx2	All-features denominator	110	212	disease + z_age + gender + z_BMI	20260724	FALSE	4	212	1	1	expected CLR coefficient (log2-ratio scale)	Reconstructed pseudo-count	128 Monte Carlo instances; all-features denominator
ALDEx2	IQLR denominator	110	212	disease + z_age + gender + z_BMI	20260724	FALSE	4	212	1	0.985849056603774	expected CLR coefficient (log2-ratio scale)	Reconstructed pseudo-count	128 Monte Carlo instances; explicit IQLR denominator with 62 features because ALDEx2 1.42.0 cannot derive iqlr directly from a model matrix
