FeatureSpace	FeatureID	Feature	Label	AbundanceThreshold	RequiredPrevalence	ObservedThresholdPrevalence	ObservedDetectionPrevalence	MaxRelativeAbundance	PrimaryUniverse	AbundanceEstimable	PrevalenceEstimable	ControlPresent	ControlAbsent	CRCPresent	CRCAbsent
Species	SP0146	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_sp_CAG_471	Roseburia sp CAG 471	0.0001	0.1	0.254545454545455	0.590909090909091	0.0175127	TRUE	TRUE	TRUE	39	20	26	25
Species	SP0147	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_angulatum	Bifidobacterium angulatum	0.0001	0.1	0.0363636363636364	0.0454545454545455	0.0376096	FALSE	FALSE	FALSE	5	54	0	51
Species	SP0148	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_fermentans	Acidaminococcus fermentans	0.0001	0.1	0.127272727272727	0.145454545454545	0.1831794	TRUE	FALSE	FALSE	8	51	8	43
Species	SP0149	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis	Bacteroides intestinalis	0.0001	0.1	0.227272727272727	0.254545454545455	0.0467624	TRUE	TRUE	TRUE	17	42	11	40
Species	SP0150	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_callidus	Ruminococcus callidus	0.0001	0.1	0.154545454545455	0.218181818181818	0.00494	TRUE	TRUE	TRUE	12	47	12	39
Species	SP0151	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_38	Eubacterium sp CAG 38	0.0001	0.1	0.609090909090909	0.690909090909091	0.0394258	TRUE	TRUE	TRUE	42	17	34	17
Species	SP0152	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Slackia|s__Slackia_isoflavoniconvertens	Slackia isoflavoniconvertens	0.0001	0.1	0.263636363636364	0.563636363636364	0.0091526	TRUE	TRUE	TRUE	35	24	27	24
Species	SP0153	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_167	Clostridium sp CAG 167	0.0001	0.1	0.172727272727273	0.209090909090909	0.0103969	TRUE	FALSE	FALSE	15	44	8	43
Species	SP0154	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_freudenreichii	Propionibacterium freudenreichii	0.0001	0.1	0.0545454545454545	0.1	0.0071116	FALSE	FALSE	FALSE	8	51	3	48
Species	SP0155	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_parvirubra	Sutterella parvirubra	0.0001	0.1	0.154545454545455	0.254545454545455	0.0011124	TRUE	TRUE	TRUE	15	44	13	38
Species	SP0156	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii	Parabacteroides goldsteinii	0.0001	0.1	0.309090909090909	0.354545454545455	0.0148728	TRUE	TRUE	TRUE	26	33	13	38
Species	SP0157	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_vestibularis	Streptococcus vestibularis	0.0001	0.1	0.190909090909091	0.3	0.0100831	TRUE	TRUE	TRUE	21	38	12	39
Species	SP0158	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis	Enterococcus faecalis	0.0001	0.1	0.263636363636364	0.318181818181818	0.0833619	TRUE	TRUE	TRUE	21	38	14	37
Species	SP0159	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae	Haemophilus parainfluenzae	0.0001	0.1	0.309090909090909	0.445454545454545	0.0093565	TRUE	TRUE	TRUE	29	30	20	31
Species	SP0160	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_fragi	Pseudomonas fragi	0.0001	0.1	0.0272727272727273	0.0272727272727273	0.0003512	FALSE	FALSE	FALSE	3	56	0	51
Species	SP0161	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_symbiosum	Clostridium symbiosum	0.0001	0.1	0.254545454545455	0.381818181818182	0.0093636	TRUE	TRUE	TRUE	17	42	25	26
Species	SP0162	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc|s__Leuconostoc_mesenteroides	Leuconostoc mesenteroides	0.0001	0.1	0.163636363636364	0.263636363636364	0.002734	TRUE	TRUE	TRUE	18	41	11	40
Species	SP0163	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_australis	Streptococcus australis	0.0001	0.1	0.2	0.372727272727273	0.0011665	TRUE	TRUE	TRUE	28	31	13	38
Species	SP0164	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Hungatella|s__Hungatella_hathewayi	Hungatella hathewayi	0.0001	0.1	0.263636363636364	0.4	0.0151031	TRUE	TRUE	TRUE	19	40	25	26
