Group	Subjects	Female	Male	AgeMean	AgeSD	BMIMean	BMISD	ReadsMedian	ReadsIQR
Control	59	32	27	60.6101694915254	11.5624495512824	24.6779661016949	3.1701227973937	64903644	24631123.5
CRC	51	23	28	66.843137254902	10.911228251704	25.5686274509804	5.17012534455707	55469214	38764841
