package	requested_version	installed_version	build	channel	status
python	3.12.13	3.12.13	hd63d673_0_cpython	conda-forge	PASS
seqkit	2.10.0	2.10.0	he881be0_1	bioconda	PASS
pigz	2.8	2.8	h421ea60_2	conda-forge	PASS
matplotlib-base	3.10.5	3.10.5	py312he3d6523_0	conda-forge	PASS
