Standard	ManuscriptSection	ExpandedRecommendations
STORMS	Abstract	4
STORMS	Introduction	2
STORMS	Methods	46
STORMS	Results	6
STORMS	Discussion	6
STORMS	Other information	5
STREAMS	Abstract	6
STREAMS	Introduction	2
STREAMS	Methods	42
STREAMS	Results	5
STREAMS	Discussion	6
STREAMS	Other information	6
