MandatoryMetadata	Description
Source of UViGs	Type of dataset from which the UViG was obtained
Assembly software	Tool(s) used for assembly and/or binning, including version number and parameters
Virus identification software	Tool(s) used for the identification of UViG as a viral genome, software or protocol name including version number, parameters, and cutoffs used (see Supplementary Table 2)
Predicted genome type	Type of genome predicted for the UViG
Predicted genome structure	Expected structure of the viral genome
Detection type	Type of UViG detection
Assembly quality	The assembly quality categories, specific for virus genomes, are based on sets of criteria as follows:Finished: Single, validated, contiguous sequence per replicon without gaps or ambiguities, with extensive manual review and editing to annotate putative gene functions and transcriptional unitsHigh-quality draft genome: One or multiple fragments, totaling ≥90% of the expected genome or replicon sequence or predicted completeGenome fragment(s): One or multiple fragments, totaling <90% of the expected genome or replicon sequence, or for which no genome size could be estimated
Number of contigs	Total number of contigs composing the UViG
