Category	Criterion	Requirement
Genome fragment(s)	Assembly	Single or multiple fragments
High-quality draft genome	Assembly	Single or multiple fragments where gaps span (mostly) repetitive regions
Finished genome	Assembly	Single contiguous sequence (per segment) without gaps or ambiguities
Genome fragment(s)	Completeness	<90% expected genome size or no expected genome size
High-quality draft genome	Completeness	Complete or ≥90% of expected genome size
Finished genome	Completeness	Complete
Genome fragment(s)	Required features	Minimal annotation
High-quality draft genome	Required features	Minimal annotation
Finished genome	Required features	Comprehensive manual review and editing
