Cohort	Restriction	Samples	ProcrustesR	ProcrustesP	ProcrustesBootLow	ProcrustesBootHigh	MantelRho	MantelP	Permutations	Bootstraps
PRISM	Unrestricted	155	0.619492546198694	0.0001	0.609168359533643	0.671225408541219	0.550298081490437	0.0001	9999	2000
PRISM	Within diagnosis	155	0.619492546198694	0.0001	0.609168359533643	0.671225408541219	0.550298081490437	0.0001	9999	2000
Validation	Unrestricted	65	0.699745168346495	0.0001	0.680284411837266	0.792453611929291	0.674658006577757	0.0001	9999	2000
Validation	Within diagnosis	65	0.699745168346495	0.0001	0.680284411837266	0.792453611929291	0.674658006577757	0.0001	9999	2000
