hotspring	ProcessID	Element	Process	RecoveredMAGCarrierFraction	RecruitmentRate	Samples
AB02	sulfur_reduction	Sulfur	Elemental sulfur reduction	0.0	0.0828125	8
AB02	three_hp	Carbon	3-hydroxypropionate bicycle	0.028045921139248794	0.0828125	8
AB02	wood_ljungdahl	Carbon	Wood-Ljungdahl fixation	0.08282129817967779	0.0828125	8
AB03	anammox	Nitrogen	Anaerobic ammonium oxidation	0.0	0.10606499999999999	8
AB03	cbb	Carbon	Calvin-Benson-Bassham fixation	0.12633780687584276	0.10606499999999999	8
AB03	cummo	Carbon/Nitrogen	Copper membrane monooxygenase	0.0	0.10606499999999999	8
AB03	dnra_nitrite	Nitrogen	Dissimilatory nitrite reduction to ammonium	0.07200744084049121	0.10606499999999999	8
AB03	dsr	Sulfur	DsrAB sulfite/sulfide axis	0.05432830817437932	0.10606499999999999	8
AB03	hao	Nitrogen	Hydroxylamine oxidation	0.059206052584282784	0.10606499999999999	8
AB03	mcr	Carbon	Methyl-coenzyme M reductase	0.0	0.10606499999999999	8
AB03	n2o_to_n2	Nitrogen	Nitrous oxide reduction to dinitrogen	0.09060530641000256	0.10606499999999999	8
AB03	n_fix	Nitrogen	Nitrogen fixation	0.1086907721315854	0.10606499999999999	8
AB03	nar_nxr	Nitrogen	NarGH/NxrAB oxidoreductase family	0.02690402189968332	0.10606499999999999	8
AB03	nitrate_to_nitrite	Nitrogen	Respiratory nitrate reduction	0.02523101076066215	0.10606499999999999	8
AB03	nitrite_to_no	Nitrogen	Nitrite reduction to nitric oxide	0.08142075836404272	0.10606499999999999	8
AB03	no_to_n2o	Nitrogen	Nitric oxide reduction to nitrous oxide	0.018084947335225567	0.10606499999999999	8
AB03	phs	Sulfur	Thiosulfate/polysulfide reduction	0.0	0.10606499999999999	8
AB03	rtca	Carbon	Reverse TCA fixation	0.011945532545591055	0.10606499999999999	8
AB03	sox	Sulfur	Thiosulfate oxidation by Sox	0.02347196587855542	0.10606499999999999	8
AB03	sulfate_to_sulfite	Sulfur	Dissimilatory sulfate reduction to sulfite	0.05506089417986808	0.10606499999999999	8
AB03	sulfur_reduction	Sulfur	Elemental sulfur reduction	0.0	0.10606499999999999	8
AB03	three_hp	Carbon	3-hydroxypropionate bicycle	0.07618700621030473	0.10606499999999999	8
AB03	wood_ljungdahl	Carbon	Wood-Ljungdahl fixation	0.0713248155494943	0.10606499999999999	8
AB04	anammox	Nitrogen	Anaerobic ammonium oxidation	0.0	0.101915	4
AB04	cbb	Carbon	Calvin-Benson-Bassham fixation	0.10352605689926395	0.101915	4
AB04	cummo	Carbon/Nitrogen	Copper membrane monooxygenase	0.019328517319034642	0.101915	4
AB04	dnra_nitrite	Nitrogen	Dissimilatory nitrite reduction to ammonium	0.13395270132033604	0.101915	4
AB04	dsr	Sulfur	DsrAB sulfite/sulfide axis	0.042822511668542826	0.101915	4
AB04	hao	Nitrogen	Hydroxylamine oxidation	0.13193100427513194	0.101915	4
AB04	mcr	Carbon	Methyl-coenzyme M reductase	0.0019905019905019903	0.101915	4
AB04	n2o_to_n2	Nitrogen	Nitrous oxide reduction to dinitrogen	0.32352718059982766	0.101915	4
AB04	n_fix	Nitrogen	Nitrogen fixation	0.006577994987005013	0.101915	4
AB04	nar_nxr	Nitrogen	NarGH/NxrAB oxidoreductase family	0.021312509818009816	0.101915	4
AB04	nitrate_to_nitrite	Nitrogen	Respiratory nitrate reduction	0.012651519305032612	0.101915	4
AB04	nitrite_to_no	Nitrogen	Nitrite reduction to nitric oxide	0.2003809078730921	0.101915	4
AB04	no_to_n2o	Nitrogen	Nitric oxide reduction to nitrous oxide	0.049714506546549714	0.101915	4
AB04	phs	Sulfur	Thiosulfate/polysulfide reduction	0.0	0.101915	4
AB04	rtca	Carbon	Reverse TCA fixation	0.01269850515153055	0.101915	4
AB04	sox	Sulfur	Thiosulfate oxidation by Sox	0.013841508739536424	0.101915	4
AB04	sulfate_to_sulfite	Sulfur	Dissimilatory sulfate reduction to sulfite	0.04926601035404927	0.101915	4
