sample	hotspring	hotspring_common_name	broad_region_short	year	pH	temperature	temperature_regime	is_hotspring	filtered_Nsequences	metagenome2MAG_read_recruitment_rate
AY03.1.6	AY03	Rabbit Creek Source Pool	YEL	2021	9.12	73.5	70_80	yes	444473	0.091845
AY03.1.7	AY03	Rabbit Creek Source Pool	YEL	2021	9.2	61.6	50_70	yes	1288798	0.069925
AY03.1.8	AY03	Rabbit Creek Source Pool	YEL	2021	9.12	69.8	50_70	yes	4082712	0.068315
AY03.1.9	AY03	Rabbit Creek Source Pool	YEL	2021	9.12	69.8	50_70	yes	2849139	0.062405
AY03.2.1	AY03	Rabbit Creek Source Pool	YEL	2022	8.89	85.0	80_100	yes	40917330	0.2003
AY03.2.10	AY03	Rabbit Creek Source Pool	YEL	2022	9.23	51.2	50_70	yes	19706428	0.083415
AY03.2.2	AY03	Rabbit Creek Source Pool	YEL	2022	8.94	83.2	80_100	yes	52135405	0.365335
AY03.2.4	AY03	Rabbit Creek Source Pool	YEL	2022	8.0	90.0	80_100	yes	19015991	0.153255
AY03.2.5	AY03	Rabbit Creek Source Pool	YEL	2022	9.02	73.2	70_80	yes	24263878	0.110385
AY03.2.6	AY03	Rabbit Creek Source Pool	YEL	2022	8.98	73.9	70_80	yes	18213853	0.113705
AY03.2.7	AY03	Rabbit Creek Source Pool	YEL	2022	9.7	67.3	50_70	yes	19920424	0.098535
AY03.2.8	AY03	Rabbit Creek Source Pool	YEL	2022	9.34	42.6	30_50	yes	18860501	0.206675
AY03.2.9	AY03	Rabbit Creek Source Pool	YEL	2022	9.05	73.5	70_80	yes	5337667	0.08116
AY03.3.10	AY03	Rabbit Creek Source Pool	YEL	2023	9.4	66.2	50_70	yes	27367938	0.079615
AY03.3.2	AY03	Rabbit Creek Source Pool	YEL	2023	9.38	75.3	70_80	yes	24590761	0.07596
AY03.3.3	AY03	Rabbit Creek Source Pool	YEL	2023	9.54	63.7	50_70	yes	25025777	0.10134
AY03.3.4	AY03	Rabbit Creek Source Pool	YEL	2023	9.47	68.8	50_70	yes	22563095	0.079885
AY03.3.5	AY03	Rabbit Creek Source Pool	YEL	2023	9.45	68.0	50_70	yes	19995613	0.074915
AY03.3.6	AY03	Rabbit Creek Source Pool	YEL	2023	9.25	83.9	80_100	yes	47950244	0.323605
AY03.3.7	AY03	Rabbit Creek Source Pool	YEL	2023	9.36	69.6	50_70	yes	19565029	0.07081
AY03.3.8	AY03	Rabbit Creek Source Pool	YEL	2023	9.34	69.9	50_70	yes	24467894	0.07964
AY03.3.9	AY03	Rabbit Creek Source Pool	YEL	2023	9.72	45.4	30_50	yes	19758329	0.119505
AY04.0.2	AY04		YEL	2020	8.685066667	64.4	50_70	yes	4157177	0.073835
AY04.0.3	AY04		YEL	2020	9.118133333	31.4	30_50	yes	999576	0.067175
AY04.0.4	AY04		YEL	2020	8.8088	52.9	50_70	yes	1128955	0.06755
AY04.0.5	AY04		YEL	2020	9.427466667	34.1	30_50	yes	4934530	0.1105
AY04.0.6	AY04		YEL	2020	9.489333333	35.5	30_50	yes	1804317	0.19586
AY04.0.8	AY04		YEL	2020	9.448088889	27.0	below_30	yes	2536040	0.125305
AY04.0.9	AY04		YEL	2020	8.592266667	74.8	70_80	yes	371672	0.132765
AY04.1.1	AY04		YEL	2021	8.77	56.5	50_70	yes	10213620	0.11773
AY04.1.2	AY04		YEL	2021	8.64	64.3	50_70	yes	3434006	0.13222
AY04.1.3	AY04		YEL	2021	8.83	52.4	50_70	yes	6320347	0.08384
AY04.1.4	AY04		YEL	2021	8.9	44.3	30_50	yes	3769823	0.085915
AY04.1.5	AY04		YEL	2021	9.15	42.8	30_50	yes	13102620	0.065075
AY04.1.6	AY04		YEL	2021	9.08	29.0	below_30	yes	828020	0.109595
AY04.1.7	AY04		YEL	2021	9.15	42.8	30_50	yes	1866183	0.12546
AY04.2.1	AY04		YEL	2022	8.67	62.6	50_70	yes	23349105	0.135755
AY04.2.2	AY04		YEL	2022	8.72	60.9	50_70	yes	21252770	0.120105
AY04.2.3	AY04		YEL	2022	8.79	56.5	50_70	yes	19587885	0.095285
AY04.2.4	AY04		YEL	2022	9.25	35.9	30_50	yes	5255148	0.061615
AY04.2.5	AY04		YEL	2022	8.82	53.2	50_70	yes	20639403	0.10705
AY04.2.6	AY04		YEL	2022	9.19	42.1	30_50	yes	22844941	0.116775
AY04.2.7	AY04		YEL	2022	8.81	56.2	50_70	yes	22473340	0.116075
AY04.2.8	AY04		YEL	2022	9.13	40.1	30_50	yes	16636745	0.120105
AY04.2.9	AY04		YEL	2022	9.12	43.2	30_50	yes	20266951	0.118605
AY04.3.1	AY04		YEL	2023	9.06	59.6	50_70	yes	23694681	0.10065
AY04.3.2	AY04		YEL	2023	9.04	58.8	50_70	yes	26961395	0.09844
AY04.3.3	AY04		YEL	2023	9.06	57.0	50_70	yes	25560375	0.08335
AY04.3.4	AY04		YEL	2023	9.11	51.3	50_70	yes	7532556	0.087195
AY04.3.5	AY04		YEL	2023	9.17	51.7	50_70	yes	24194530	0.081775
AY04.3.6	AY04		YEL	2023	9.14	51.8	50_70	yes	22529346	0.089385
AY04.3.7	AY04		YEL	2023	9.02	56.3	50_70	yes	25001335	0.08096
AY04.3.8	AY04		YEL	2023	9.28	47.3	30_50	yes	19613845	0.095625
AY05.0.1	AY05		YEL	2020	8.963466667	74.5	70_80	yes	539946	0.063565
AY05.0.2	AY05		YEL	2020	8.860355556	74.4	70_80	yes	859631	0.071705
AY05.0.3	AY05		YEL	2020	8.829422222	73.9	70_80	yes	1027633	0.08479
AY05.0.4	AY05		YEL	2020	9.0872	40.9	30_50	yes	1252952	0.0665
AY05.0.5	AY05		YEL	2020	9.118133333	45.0	30_50	yes	5786086	0.139865
AY05.2.1	AY05		YEL	2022	8.5	70.2	70_80	yes	25632840	0.13087
AY05.2.2	AY05		YEL	2022	8.5	69.6	50_70	yes	30298616	0.12156
AY05.2.3	AY05		YEL	2022	8.85	37.5	30_50	yes	24755664	0.07904
AY05.2.4	AY05		YEL	2022	8.92	29.7	below_30	yes	19212975	0.08744
AY05.2.5	AY05		YEL	2022	8.79	45.9	30_50	yes	25156135	0.09858
AY05.3.1	AY05		YEL	2023	8.89	68.0	50_70	yes	25361458	0.08077
AY05.3.2	AY05		YEL	2023	8.85	68.1	50_70	yes	27393603	0.071955
AY05.3.3	AY05		YEL	2023	9.21	30.8	30_50	yes	23376058	0.13644
AY05.3.4	AY05		YEL	2023	8.98	48.6	30_50	yes	21490166	0.08782
AY06.0.5	AY06		YEL	2020	8.932533333	78.7	70_80	yes	792520	0.069195
AY06.0.6	AY06		YEL	2020	9.417155556	26.5	below_30	yes	5144685	0.068035
AY06.1.1	AY06		YEL	2021	8.3	90.1	80_100	yes	1942155	0.260655
AY06.1.4	AY06		YEL	2021	9.3	30.7	30_50	yes	1994975	0.076045
AY06.1.5	AY06		YEL	2021	9.04	43.2	30_50	yes	724389	0.066915
AY06.1.6	AY06		YEL	2021		26.7	below_30	yes	619041	0.17234
AY06.2.1	AY06		YEL	2022	8.71	87.0	80_100	yes	14864798	0.29548
AY06.2.2	AY06		YEL	2022	8.76	80.2	80_100	yes	21702116	0.090405
AY06.2.5	AY06		YEL	2022	9.08	40.8	30_50	yes	21865494	0.07033
AY06.2.6	AY06		YEL	2022	9.08	20.7	below_30	yes	28155653	0.24631
AY06.2.7	AY06		YEL	2022	9.08	44.5	30_50	yes	36571586	0.06952
AY06.3.1	AY06		YEL	2023	8.95	86.0	80_100	yes	47656965	0.325585
AY06.3.2	AY06		YEL	2023	9.06	78.7	70_80	yes	23030408	0.105555
AY06.3.3	AY06		YEL	2023	9.24	40.3	30_50	yes	26790253	0.06154
AY06.3.4	AY06		YEL	2023	9.31	32.0	30_50	yes	19052556	0.08278
AY06.3.5	AY06		YEL	2023	9.26	39.4	30_50	yes	27924678	0.0566
AY06.3.6	AY06		YEL	2023	9.73	9.2	below_30	yes	25132599	0.10211
AY06.3.7	AY06		YEL	2023	9.49	25.4	below_30	yes	24168327	0.0633
AY07.0.1	AY07	Mushroom Spring	YEL	2020	7.592088889	65.9	50_70	yes	5311010	0.089795
AY07.0.2	AY07	Mushroom Spring	YEL	2020	7.571466667	65.4	50_70	yes	2407560	0.090235
AY07.0.3	AY07	Mushroom Spring	YEL	2020	7.571466667	65.5	50_70	yes	2918913	0.08132
AY07.0.4	AY07	Mushroom Spring	YEL	2020	7.540533333	66.3	50_70	yes	1779890	0.10707
AY07.0.5	AY07	Mushroom Spring	YEL	2020	7.5096	66.1	50_70	yes	3309095	0.1181
AY07.0.6	AY07	Mushroom Spring	YEL	2020	7.540533333	67.4	50_70	yes	5509322	0.094335
AY07.0.7	AY07	Mushroom Spring	YEL	2020	7.540533333	66.7	50_70	yes	5000825	0.113445
AY07.0.8	AY07	Mushroom Spring	YEL	2020	7.5096	66.1	50_70	yes	913583	0.113285
AY07.1.1	AY07	Mushroom Spring	YEL	2021	7.45	63.8	50_70	yes	1096419	0.12069
AY07.1.2	AY07	Mushroom Spring	YEL	2021	7.46	64.2	50_70	yes	1320987	0.11541
AY07.1.3	AY07	Mushroom Spring	YEL	2021	7.5	64.0	50_70	yes	2890798	0.094775
AY07.1.4	AY07	Mushroom Spring	YEL	2021	7.54	64.0	50_70	yes	3022244	0.104445
AY07.1.5	AY07	Mushroom Spring	YEL	2021	7.51	64.4	50_70	yes	1397571	0.147865
AY07.1.6	AY07	Mushroom Spring	YEL	2021		57.9	50_70	yes	5027030	0.09806
AY07.2.1	AY07	Mushroom Spring	YEL	2022	7.35	63.7	50_70	yes	28745232	0.11634
AY07.2.2	AY07	Mushroom Spring	YEL	2022	7.38	62.3	50_70	yes	23041144	0.105015
AY07.2.3	AY07	Mushroom Spring	YEL	2022	7.31	62.9	50_70	yes	25867109	0.13803
AY07.2.4	AY07	Mushroom Spring	YEL	2022	7.33	63.7	50_70	yes	37090799	0.142025
AY07.2.5	AY07	Mushroom Spring	YEL	2022	7.34	64.9	50_70	yes	34745008	0.08454
AY07.2.6	AY07	Mushroom Spring	YEL	2022	7.35	63.6	50_70	yes	27338302	0.07617
AY07.2.7	AY07	Mushroom Spring	YEL	2022	7.39	63.8	50_70	yes	25768191	0.157045
AY07.2.8	AY07	Mushroom Spring	YEL	2022	7.39	63.5	50_70	yes	24671166	0.10589
AY07.3.1	AY07	Mushroom Spring	YEL	2023	7.77	62.4	50_70	yes	21554881	0.12072
AY07.3.2	AY07	Mushroom Spring	YEL	2023	7.69	63.1	50_70	yes	32005284	0.108355
AY07.3.3	AY07	Mushroom Spring	YEL	2023	7.69	62.2	50_70	yes	25417042	0.13603
AY07.3.4	AY07	Mushroom Spring	YEL	2023	7.69	61.9	50_70	yes	30543157	0.12432
AY07.3.5	AY07	Mushroom Spring	YEL	2023	7.69	62.4	50_70	yes	26131240	0.095945
AY07.3.6	AY07	Mushroom Spring	YEL	2023	7.68	62.7	50_70	yes	20511319	0.09288
AY07.3.7	AY07	Mushroom Spring	YEL	2023	7.69	63.0	50_70	yes	32143381	0.13479
AY07.3.8	AY07	Mushroom Spring	YEL	2023	7.67	63.5	50_70	yes	26940920	0.09878
AY08.0.3	AY08	Octopus Spring	YEL	2020	7.932355556	76.0	70_80	yes	1660427	0.076445
AY08.0.4	AY08	Octopus Spring	YEL	2020	7.354933333	57.6	50_70	yes	2499041	0.085075
AY08.0.5	AY08	Octopus Spring	YEL	2020	8.324177778	65.3	50_70	yes	4611857	0.070545
AY08.0.6	AY08	Octopus Spring	YEL	2020	8.0664	81.5	80_100	yes	529078	0.08963
AY08.0.8	AY08	Octopus Spring	YEL	2020	7.994222222	85.1	80_100	yes	2206357	0.08676
AY08.1.2	AY08	Octopus Spring	YEL	2021	7.92	84.9	80_100	yes	5173415	0.120145
AY08.1.3	AY08	Octopus Spring	YEL	2021		69.8	50_70	yes	1155654	0.087765
AY08.1.4	AY08	Octopus Spring	YEL	2021		43.5	30_50	yes	1534024	0.087185
AY08.1.5	AY08	Octopus Spring	YEL	2021	8.15	63.5	50_70	yes	4356823	0.08685
AY08.1.6	AY08	Octopus Spring	YEL	2021	8.22	58.5	50_70	yes	790622	0.112
AY08.2.1	AY08	Octopus Spring	YEL	2022	7.82	92.3	80_100	yes	18864235	0.129725
AY08.2.2	AY08	Octopus Spring	YEL	2022	8.02	65.1	50_70	yes	19062372	0.10131
AY08.2.3	AY08	Octopus Spring	YEL	2022	8.16	65.1	50_70	yes	25021734	0.078885
AY08.2.4	AY08	Octopus Spring	YEL	2022	7.91	81.7	80_100	yes	24263172	0.277035
AY08.2.5	AY08	Octopus Spring	YEL	2022	8.02	69.7	50_70	yes	22773061	0.077095
AY08.2.6	AY08	Octopus Spring	YEL	2022	7.51	61.8	50_70	yes	24006501	0.10192
AY08.2.7	AY08	Octopus Spring	YEL	2022	7.48	57.4	50_70	yes	22966840	0.11781
AY08.3.1	AY08	Octopus Spring	YEL	2023	7.98	90.8	80_100	yes	48622839	0.138715
AY08.3.2	AY08	Octopus Spring	YEL	2023	8.36	70.0	70_80	yes	20401553	0.093205
AY08.3.3	AY08	Octopus Spring	YEL	2023	8.2	70.6	70_80	yes	25026646	0.07531
AY08.3.4	AY08	Octopus Spring	YEL	2023	8.19	71.8	70_80	yes	20330605	0.08112
AY08.3.5	AY08	Octopus Spring	YEL	2023	8.21	71.5	70_80	yes	29925532	0.07546
AY08.3.6	AY08	Octopus Spring	YEL	2023	8.26	62.0	50_70	yes	32330969	0.111435
AY08.3.7	AY08	Octopus Spring	YEL	2023	8.24	62.8	50_70	yes	24980641	0.092565
AY10.3.1	AY10		YEL	2023	3.14	88.8	80_100	yes	56789540	0.597195
AY11.0.1	AY11		YEL	2020	3.220177778	65.5	50_70	yes	736429	0.518065
AY11.1.2	AY11		YEL	2021	3.84	43.3	30_50	yes	1863090	0.447895
AY11.1.3	AY11		YEL	2021	3.51	51.2	50_70	yes	8050001	0.1711
AY11.1.5	AY11		YEL	2021	3.36	51.8	50_70	yes	595842	0.107205
AY11.1.6	AY11		YEL	2021	6.36	33.7	30_50	yes	464241	0.03393
AY11.2.1	AY11		YEL	2022	2.88	83.0	80_100	yes	3103456	0.35668
AY11.2.2	AY11		YEL	2022	3.67	47.5	30_50	yes	32149228	0.375925
AY11.2.3	AY11		YEL	2022	3.26	65.1	50_70	yes	20243493	0.41211
AY11.2.5	AY11		YEL	2022	3.93	65.7	50_70	yes	19161470	0.24826
AY11.3.1	AY11		YEL	2023	3.41	84.4	80_100	yes	25411075	0.46593
AY11.3.2	AY11		YEL	2023	4.7	48.5	30_50	yes	22677113	0.3221
AY11.3.3	AY11		YEL	2023	3.94	79.9	70_80	yes	26798033	0.39571
AY11.3.4	AY11		YEL	2023	3.61	33.9	30_50	yes	21234810	0.11491
AY11.3.5	AY11		YEL	2023	3.65	47.5	30_50	yes	25710867	0.29994
AY12.1.2	AY12		YEL	2021	7.11	66.2	50_70	yes	838699	0.0977
AY12.1.3	AY12		YEL	2021	7.06	68.9	50_70	yes	915406	0.102405
LB01.3.1	LB01	Buffalo Valley Hot Springs	GBD	2023	6.78	63.9	50_70	yes	27954109	0.11444
LB02.3.1	LB02	Buffalo Valley Hot Springs	GBD	2023	7.13	56.3	50_70	yes	25208327	0.272255
LB04.3.1	LB04	Buffalo Valley Hot Springs	GBD	2023	7.02	61.8	50_70	yes	32336651	0.09597
LB07.3.1	LB07	Buffalo Valley Hot Springs	GBD	2023	6.78	52.7	50_70	yes	15958527	0.09446
LC02.3.1	LC02	Smith Creek Valley Group	GBD	2023	7.94	56.8	50_70	yes	18504665	0.18536
LC04.3.1	LC04	Smith Creek Valley Group	GBD	2023	8.03	69.0	50_70	yes	28273669	0.20073
LC05.3.1	LC05	Smith Creek Valley Group	GBD	2023	9.02	55.2	50_70	yes	22061251	0.080205
LD01.3.1	LD01	Dixie Springs	GBD	2023	8.06	68.8	50_70	yes	26732826	0.182575
LD01.3.2	LD01	Dixie Springs	GBD	2023	8.33	65.9	50_70	yes	29099693	0.13292
LE01.3.1	LE01	Bartine Hot Springs	GBD	2023	6.95	47.8	30_50	yes	22805075	0.192715
LE01.3.2	LE01	Bartine Hot Springs	GBD	2023	7.29	44.0	30_50	yes	6639166	0.056975
LE01.3.3	LE01	Bartine Hot Springs	GBD	2023	7.07	47.0	30_50	yes	17779703	0.169705
LH02.3.1	LH02	Hydra (Hyder) Hot Springs	GBD	2023	7.02	54.8	50_70	yes	23490298	0.16272
LH02.3.2	LH02	Hydra (Hyder) Hot Springs	GBD	2023	7.81	55.0	50_70	yes	30732450	0.1138
LH03.3.1	LH03	Hydra (Hyder) Hot Springs	GBD	2023	6.53	63.2	50_70	yes	24097187	0.14991
LH03.3.2	LH03	Hydra (Hyder) Hot Springs	GBD	2023	6.51	62.2	50_70	yes	22589729	0.12147
LH03.3.3	LH03	Hydra (Hyder) Hot Springs	GBD	2023	6.95	47.1	30_50	yes	23369123	0.094995
LP01.3.1	LP01	Pott's Springs	GBD	2023	7.03	41.3	30_50	yes	19597933	0.03778
LP02.3.1	LP02	Pott's Springs	GBD	2023	7.03	45.0	30_50	yes	18961782	0.076765
LP03.3.1	LP03	Pott's Springs	GBD	2023	6.93	43.3	30_50	yes	21036860	0.058535
LP03.3.2	LP03	Pott's Springs	GBD	2023	6.95	42.0	30_50	yes	16862556	0.10367
LR01.3.1	LR01	Abel Spring	GBD	2023	6.63	45.1	30_50	yes	20066259	0.205595
LR01.3.2	LR01	Abel Spring	GBD	2023	7.72	43.6	30_50	yes	20689194	0.129405
LR01.3.3	LR01	Abel Spring	GBD	2023	7.03	42.7	30_50	yes	14506248	0.119945
LS01.3.1	LS01	Seyferth (Chicken) Hot Springs	ALK	2023	6.8	82.8	80_100	yes	22029203	0.15638
LS01.3.2	LS01	Seyferth (Chicken) Hot Springs	ALK	2023	6.8	81.7	80_100	yes	22832637	0.108495
LS01.3.3	LS01	Seyferth (Chicken) Hot Springs	ALK	2023	6.79	73.1	70_80	yes	23444332	0.095075
LS02.3.1	LS02	Seyferth (Chicken) Hot Springs	ALK	2023	6.8	85.0	80_100	yes	18814481	0.083185
LS02.3.2	LS02	Seyferth (Chicken) Hot Springs	ALK	2023	6.8	82.3	80_100	yes	21283264	0.14455
LS02.3.3	LS02	Seyferth (Chicken) Hot Springs	ALK	2023	6.79	80.5	80_100	yes	21981602	0.08314
LT01.3.1	LT01	Travertine Hot Springs	SIE	2023	6.77	43.5	30_50	yes	23815722	0.0817
LT01.3.2	LT01	Travertine Hot Springs	SIE	2023	6.77	42.7	30_50	yes	20746328	0.77896
LT01.3.3	LT01	Travertine Hot Springs	SIE	2023	6.77	40.9	30_50	yes	27588723	0.714175
LT12.3.1	LT12	Travertine Hot Springs	SIE	2023	6.77	44.2	30_50	yes	24455147	0.230485
LT12.3.2	LT12	Travertine Hot Springs	SIE	2023	6.77	44.5	30_50	yes	32504364	0.07505
LT12.3.3	LT12	Travertine Hot Springs	SIE	2023	6.77	43.1	30_50	yes	29605658	0.123445
LT16.3.1	LT16	Travertine Hot Springs	SIE	2023	6.76	35.25	30_50	yes	21734357	0.297675
LT16.3.2	LT16	Travertine Hot Springs	SIE	2023	6.77	43.6	30_50	yes	24348057	0.136175
LT16.3.3	LT16	Travertine Hot Springs	SIE	2023	6.77	41.9	30_50	yes	20043066	0.166465
LT16.3.4	LT16	Travertine Hot Springs	SIE	2023	6.76	34.0	30_50	yes	22260053	0.1527
LU02.3.1	LU02	Hot Sulphur Springs	GBD	2023	6.8	67.2	50_70	yes	20824992	0.108345
LU02.3.2	LU02	Hot Sulphur Springs	GBD	2023	7.84	50.8	50_70	yes	18981663	0.137105
LU04.3.1	LU04	Hot Sulphur Springs	GBD	2023	6.82	65.0	50_70	yes	32078313	0.161115
LU04.3.2	LU04	Hot Sulphur Springs	GBD	2023	7.03	50.9	50_70	yes	21245418	0.14581
LU04.3.3	LU04	Hot Sulphur Springs	GBD	2023	7.02	61.4	50_70	yes	17351462	0.12084
LV02.3.1	LV02	Shepherd hot spring	SIE	2023	6.77	48.3	30_50	yes	26921976	0.13533
LV02.3.2	LV02	Shepherd hot spring	SIE	2023	6.77	46.8	30_50	yes	28550536	0.13146
LV02.3.3	LV02	Shepherd hot spring	SIE	2023	6.77	45.9	30_50	yes	27124638	0.19605
LV02.3.4	LV02	Shepherd hot spring	SIE	2023	6.77	47.1	30_50	yes	24885553	0.141405
