temperature_regime	ProcessID	Element	Process	RawMedianIndex	MedianIndex	CompleteGateFraction	Q25	Q75	Samples	Springs
70_80	hao	Nitrogen	Hydroxylamine oxidation	1.650309314e-05	1.650309314e-05	0.9607843137254902	3.8247224940000005e-06	4.9135375855e-05	51	17
70_80	mcr	Carbon	Methyl-coenzyme M reductase	0.0	0.0	0.0196078431372549	0.0	0.0	51	17
70_80	n2o_to_n2	Nitrogen	Nitrous oxide reduction to dinitrogen	4.195364977e-05	4.195364977e-05	1.0	1.6886445940000002e-05	0.00012984499305	51	17
70_80	n_fix	Nitrogen	Nitrogen fixation	3.411292312666667e-06	0.0	0.49019607843137253	0.0	2.6450909622500003e-05	51	17
70_80	nar_nxr	Nitrogen	NarGH/NxrAB oxidoreductase family	5.424486096e-06	5.424486096e-06	0.9411764705882353	1.6319609096749999e-06	1.0747808391750001e-05	51	17
70_80	nitrate_to_nitrite	Nitrogen	Respiratory nitrate reduction	6.250665519183334e-06	6.230182328333333e-06	0.9019607843137255	2.1858790592333335e-06	1.4865782430466667e-05	51	17
70_80	nitrite_to_no	Nitrogen	Nitrite reduction to nitric oxide	2.28032204e-05	2.28032204e-05	0.9019607843137255	6.378810007e-06	7.253405400865e-05	51	17
70_80	no_to_n2o	Nitrogen	Nitric oxide reduction to nitrous oxide	4.3844828685e-06	2.31585822205e-06	0.5490196078431373	0.0	1.1904944485e-05	51	17
70_80	phs	Sulfur	Thiosulfate/polysulfide reduction	9.133732776666667e-06	0.0	0.0	0.0	0.0	51	17
70_80	rtca	Carbon	Reverse TCA fixation	1.41535788475e-06	0.0	0.45098039215686275	0.0	2.52134925375e-06	51	17
70_80	sox	Sulfur	Thiosulfate oxidation by Sox	2.5118557344000005e-05	2.4576732719e-05	0.9411764705882353	1.4252148296249997e-05	4.06212931077e-05	51	17
70_80	sulfate_to_sulfite	Sulfur	Dissimilatory sulfate reduction to sulfite	8.20387646584e-05	7.6128982491e-05	0.7450980392156863	1.614422608275e-05	9.780386446349998e-05	51	17
70_80	sulfur_reduction	Sulfur	Elemental sulfur reduction	0.0	0.0	0.0	0.0	0.0	51	17
70_80	three_hp	Carbon	3-hydroxypropionate bicycle	7.732178577666667e-07	1.5597054856833332e-07	0.5098039215686274	0.0	2.3936249570033333e-05	51	17
70_80	wood_ljungdahl	Carbon	Wood-Ljungdahl fixation	9.99227594744e-06	6.182731733399999e-06	0.6862745098039216	0.0	2.58841203343e-05	51	17
80_100	anammox	Nitrogen	Anaerobic ammonium oxidation	4.616080479000001e-06	0.0	0.0	0.0	0.0	35	13
