Table	KO
Community	K08353
Community	K08354
Community	K20932
Community	K20933
Community	K20934
Community	K20935
Community	K22896
Community	K22897
Community	K22899
MAG	K08353
MAG	K08354
MAG	K20932
MAG	K20933
MAG	K20934
MAG	K20935
MAG	K22896
MAG	K22897
MAG	K22898
MAG	K22899
