Mock	RunAccession	Mate	ExpectedBytes	ObservedBytes	ExpectedMD5	ObservedMD5	ObservedSHA256	Status
MOCK1	ERR9765746	R1	1740647656	1740647656	ed0e6e0ee846542531c742a45181cd6f	ed0e6e0ee846542531c742a45181cd6f	8a26ae83abb5bb6ab8c8d30f9fcbfb43c2e04fd7b333eb11c6a40ef6e85c8c2f	PASS
MOCK1	ERR9765746	R2	2104551765	2104551765	5b60ac93cb69dff77ae38cfa501afd06	5b60ac93cb69dff77ae38cfa501afd06	7834df2021f96259061bdfcff9a7e7549950ec2509cd2e0730e5c07d17ecfd48	PASS
MOCK2	ERR9765747	R1	2141177143	2141177143	c0e6bb8f83a818f3feef7334cbf50b28	c0e6bb8f83a818f3feef7334cbf50b28	4be3fa489b380e86efaa0ed22d0c773c8ed7e4cd4b7b961d3c1f7c212849f392	PASS
MOCK2	ERR9765747	R2	2417824585	2417824585	fac9f4841f519c72b31149b492479def	fac9f4841f519c72b31149b492479def	68dbb97cda710ba0b99917ae179e7f50f45d92a231142900e688a004caa43c0e	PASS
