Mock	RunAccession	SourcePairs	SelectedPairs	SelectedFraction	Seed	PairIDHash	R1Bases	R2Bases
MOCK1	ERR9765746	20597525	2000000	0.09709904466677428	20260730	3c23af563c87f467dc0219b50d13bc4d32147108e674aae6fe5d7a380e73e7c6	299520828	296335382
MOCK2	ERR9765747	23173964	2000000	0.08630375019137856	20260730	eb0fb6a5a3dc522a37a5b8ff6d0dae64904823977e83ac2cd1b5a2974a2c4a99	299344103	295699910
