Mock	InputPairs	OutputPairs	InputBases	OutputBases	PairRetention	BaseRetention	Q30Before	Q30After
MOCK1	2000000	1999853	595856210	595838661	0.9999265	0.9999705482636491	0.900139	0.90014
MOCK2	2000000	1999888	595044013	595031057	0.999944	0.9999782268206772	0.876243	0.876244
