Tool	Version	Executable
fastp	1.3.6	${READ_QC_ENV_PREFIX}/bin/fastp
MEGAHIT	1.2.9	${ASSEMBLY_ENV_PREFIX}/bin/megahit
metaSPAdes	4.3.0	${ASSEMBLY_ENV_PREFIX}/bin/metaspades.py
Bowtie2	2.5.5	${ASSEMBLY_ENV_PREFIX}/bin/bowtie2
Python	3.10.20	${ASSEMBLY_ENV_PREFIX}/bin/python
