Branch	Assembler	Strategy	InputMocks	MinimumAssemblerContigBp	ReportingThresholdBp	Threads	MemorySetting	ReadSelectionSeed	AssemblerSeedPolicy	Bowtie2Seed
megahit-single-MOCK1	MEGAHIT	Single	MOCK1	500	1000	16	--memory 68719476736 (64 GiB in bytes)	20260730	no random-seed option exposed	20260730
megahit-single-MOCK2	MEGAHIT	Single	MOCK2	500	1000	16	--memory 68719476736 (64 GiB in bytes)	20260730	no random-seed option exposed	20260730
megahit-coassembly	MEGAHIT	Co-assembly	MOCK1+MOCK2	500	1000	16	--memory 68719476736 (64 GiB in bytes)	20260730	no random-seed option exposed	20260730
metaspades-single-MOCK1	metaSPAdes	Single	MOCK1	500	1000	16	-m 64 (64 GiB declared limit)	20260730	no random-seed option exposed	20260730
metaspades-single-MOCK2	metaSPAdes	Single	MOCK2	500	1000	16	-m 64 (64 GiB declared limit)	20260730	no random-seed option exposed	20260730
metaspades-coassembly	metaSPAdes	Co-assembly	MOCK1+MOCK2	500	1000	16	-m 64 (64 GiB declared limit)	20260730	no random-seed option exposed	20260730
