Sample	ReadPairs	ConcordantZero	ConcordantOnce	ConcordantMultiple	OverallAlignmentPct	BAMRecords	MappedRecords	ProperlyPairedRecords	SingletonRecords	AssemblyCoveredBp	AssemblyBreadthPct	LengthWeightedSamtoolsMeanDepth
MOCK1	1999853	730631	1250638	18584	87.48	3499110	3499110	2538444	46588	80822440	95.29653743492717	6.1429082872588365
MOCK2	1999888	650532	1329470	19886	87.25	3489766	3489766	2698712	43266	80652682	95.09637830088126	6.118751243116024
