Role	Path	Bytes	SHA256	Status
coassembly-gzip	data/small/30-short-read-assembly-frozen/contigs/megahit-coassembly.ge1000.fna.gz	25559722	904f92521ff0ce9f12bd52d153bb249ec816fc900051e06b4b12bc5da74a270a	PASS
coassembly-fasta	${ARTICLE41_WORK_DIR}/inputs/megahit-coassembly.ge1000.fna	86631816	0981a2298a9106596f67732c2590aa8913e1749f125d52abdaac6dcd64fd30f1	PASS
MOCK1-R1	data/raw/article30/clean/ERR9765746_clean_R1.fastq.gz	171736344	d917a7241a29e2151bd1e2928994acd34b309d29ede5d6bd90933c8f31717148	PASS
MOCK1-R2	data/raw/article30/clean/ERR9765746_clean_R2.fastq.gz	205840597	d224c825299ebdcc903b3e4665fbe13efada5e2855b18750a9cbc2ef661735ae	PASS
MOCK2-R1	data/raw/article30/clean/ERR9765747_clean_R1.fastq.gz	187112791	a1908f80858cc44f19ba50a786c6c81fe85106de1073d02f4eaa1ed961379cd1	PASS
MOCK2-R2	data/raw/article30/clean/ERR9765747_clean_R2.fastq.gz	210313951	6e945df7b952a849bf6b23e49afe175db8bca9bb07995bf596b37344abbc062d	PASS
