Output	ImmediateInput	Transformation	SourceRun	SourceStudy	Evidence
megahit-coassembly.ge1000.fna	Article 30 MEGAHIT co-assembly	deterministic length filter >=1000 bp during Article 30 freezing; gzip decompression only here	ERR9765746 + ERR9765747	PRJEB62467	Article 30 checksum and Article 41 input-audit.tsv
MOCK1/2 coordinate-sorted BAM	Article 30 fastp-clean paired FASTQ + common co-assembly	Bowtie2 very-sensitive; primary mapped records; coordinate sort	ERR9765746 / ERR9765747	PRJEB62467	Article 41 command-log.tsv and mapping-summary.tsv
