Tool	Version	Executable
Bowtie2	2.5.5	${ASSEMBLY_ENV_PREFIX}/bin/bowtie2
Bowtie2-build	2.5.5	${ASSEMBLY_ENV_PREFIX}/bin/bowtie2-build
SAMtools	1.23.1	${ASSEMBLY_ENV_PREFIX}/bin/samtools
MetaBAT2 depth	2.18	${ASSEMBLY_ENV_PREFIX}/bin/jgi_summarize_bam_contig_depths
