Sample	Contigs	PositiveDepthContigs	ZeroDepthContigs	PositiveDepthPct	MedianPositiveDepth	Q90PositiveDepth	Q99PositiveDepth	LengthWeightedJgiMeanDepth
MOCK1	18354	18353	1	99.99455159638227	2.04779	4.1071539999999995	18.813423999999998	5.812685370068148
MOCK2	18354	18354	0	100.0	2.01937	3.98009	18.94114600000001	5.786746469696133
