Sample	ReadFate	ReadPairs	Percent
MOCK1	No concordant alignment	730631	36.53423526629207
MOCK1	Unique concordant alignment	1250638	62.53649643248779
MOCK1	Multiple concordant alignments	18584	0.9292683012201397
MOCK2	No concordant alignment	650532	32.52842159160913
MOCK2	Unique concordant alignment	1329470	66.47722272447257
MOCK2	Multiple concordant alignments	19886	0.9943556839182994
