Assembly	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
spades-short-only	75	50	47	41	34	6707096	6650384	6628892	6524500	6281771	75	447667	6707096	6785430	50.74	50.90	241768	241768	66715	65151	229933.9	227279.4	11	11	31	32	3	3	484187	1	0	5	0	0 + 0 part	0	98.719	1.001	16.40	3.41	0.52	447567	6706580	221056	221056	66715	65151	217888.4	215373.0	12	12	32	33
spades-short-only_broken	86	60	56	50	42	6705996	6646658	6618128	6513736	6246334	86	318084	6705996	6785430	50.74	50.90	157078	157078	61702	61200	176081.2	174019.9	15	15	39	40	3	3	236902	1	0	0	0	0 + 0 part	0	98.716	1.001	0.00	2.67	0.33	318084	6705980	156102	156102	61200	58271	174144.2	172105.6	15	15	40	41
spades-illumina-ont	11	9	8	8	7	6780083	6776646	6770397	6770397	6730153	11	2355545	6780083	6785430	50.88	50.90	1626383	1626383	773209	773209	1647804.9	1646506.4	2	2	4	4	3	3	2751291	1	0	5	0	0 + 0 part	0	99.819	1.000	107.31	9.76	1.43	1710134	6772926	1501568	1501568	638397	638397	1312639.3	1311604.9	3	3	5	5
spades-illumina-ont_broken	19	15	13	13	12	6771816	6762366	6749077	6749077	6708833	19	1626383	6771816	6785430	50.88	50.90	1366041	1366041	279645	279645	1146179.1	1143879.5	3	3	7	7	3	3	1882443	1	0	0	0	0 + 0 part	0	99.807	1.000	0.00	9.76	1.34	1626383	6771600	1326336	1326336	145116	145116	1054126.6	1052011.6	3	3	8	8
spades-illumina-hifi	8	6	6	6	6	6832847	6829410	6829410	6829410	6829410	8	5489345	6832847	6785430	50.94	50.90	5489345	5489345	773116	773116	4517022.3	4548587.5	1	1	2	2	3	3	5927581	1	0	1	0	0 + 1 part	48142	99.923	1.000	36.31	12.21	1.86	3223949	6782333	2265396	2265396	773116	773116	2370524.5	2387089.9	2	2	3	3
spades-illumina-hifi_broken	11	9	8	8	6	6830366	6826929	6819918	6819918	6730263	11	5353818	6830366	6785430	50.94	50.90	5353818	5353818	339189	773116	4305365.4	4333877.3	1	1	3	2	3	3	5742418	1	0	0	0	0 + 1 part	48142	99.919	1.000	0.00	12.21	1.83	3088422	6782223	2265396	2265396	204659	773116	2248175.0	2263063.3	2	2	4	3
flye-ont	6	6	6	6	6	6755420	6755420	6755420	6755420	6755420	6	3033363	6755420	6785430	50.84	50.90	2344431	2344431	363265	363265	2262887.6	2252879.5	2	2	4	4	4	3	2782254	0	0	0	0	0 + 0 part	0	99.671	0.999	0.00	117.94	355.30	3033352	6755409	1299972	1299972	363265	363265	1775650.6	1767797.5	2	2	6	6
flye-ont-polypolish-default	6	6	6	6	6	6762674	6762674	6762674	6762674	6762674	6	3036513	6762674	6785430	50.85	50.90	2347004	2347004	363643	363643	2265264.3	2257667.3	2	2	4	4	4	3	2785403	0	0	0	0	0 + 0 part	0	99.671	1.000	0.00	7.25	7.57	3036502	6762663	1301386	1301386	363643	363643	1777478.7	1771517.7	2	2	6	6
flye-ont-polypolish-careful	6	6	6	6	6	6762517	6762517	6762517	6762517	6762517	6	3036426	6762517	6785430	50.85	50.90	2346953	2346953	363654	363654	2265200.8	2257551.7	2	2	4	4	4	3	2785327	0	0	0	0	0 + 0 part	0	99.671	1.000	0.00	11.55	18.48	3036415	6762506	1301347	1301347	363654	363654	1777423.5	1771421.5	2	2	6	6
flye-hifi	3	3	3	3	3	6785303	6785303	6785303	6785303	6785303	3	6346578	6785303	6785430	50.90	50.90	6346578	6346578	6346578	6346578	5954662.4	5954551.0	1	1	1	1	3	3	6785303	0	0	0	0	0 + 0 part	0	99.998	1.000	0.00	0.00	0.03	5256179	6785303	5256179	5256179	1090399	1090399	4261280.7	4261200.9	1	1	2	2
