Assembly	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
spades-short-only	16	0	0	0	0	19121	0	0	0	0	16	1814	19121	2222430	51.05	51.36	1127	-	1016	-	1239.1	10.7	8	-	15	-	0	0	0	0	0	0	0	0 + 0 part	0	0.834	0.998	517.76	259.47	32.43	1814	18499	1127	-	1016	-	1177.5	10.1	8	-	15	-
spades-short-only_broken	10	0	0	0	0	11698	0	0	0	0	10	1704	11698	2222430	50.78	51.36	1127	-	1041	-	1198.6	6.3	5	-	9	-	0	0	0	0	0	0	0	0 + 0 part	0	0.520	1.000	0.00	224.84	0.00	1574	11564	1127	-	1041	-	1161.4	6.1	5	-	9	-
spades-illumina-ont	26	2	0	0	0	58181	15414	0	0	0	26	9303	58181	2222430	51.59	51.36	2757	-	1097	-	3778.9	98.9	7	-	21	-	0	0	0	0	0	0	0	1 + 3 part	11186	2.086	1.003	101.41	685.98	849.41	9303	46503	1453	-	-	-	2765.1	72.4	9	-	-	-
spades-illumina-ont_broken	23	2	0	0	0	55030	15414	0	0	0	23	9303	55030	2222430	51.61	51.36	2891	-	1127	-	3934.9	97.4	6	-	18	-	0	0	0	0	0	0	0	1 + 3 part	11186	1.966	1.003	0.00	695.71	896.44	9303	43840	1574	-	-	-	2876.5	71.2	8	-	-	-
spades-illumina-hifi	141	41	18	8	1	868687	610813	458479	317143	64778	141	64778	868687	2222430	53.48	51.36	12787	-	2425	-	20431.8	7986.2	16	-	87	-	0	0	0	1	0	0	2	0 + 21 part	371323	22.292	1.001	18.19	179.14	68.19	16316	495688	1806	-	-	-	3206.4	1253.3	96	-	-	-
spades-illumina-hifi_broken	139	39	16	8	1	844792	581400	426906	317143	64778	139	64778	844792	2222430	53.43	51.36	10570	-	2425	-	20479.5	7784.7	16	-	87	-	0	0	0	1	0	0	2	0 + 21 part	351148	22.123	1.001	0.00	177.43	67.48	16316	492022	2022	-	-	-	3281.6	1247.4	90	-	-	-
flye-ont	2	2	2	0	0	30182	30182	30182	0	0	2	15964	30182	2222430	52.61	51.36	15964	-	14218	-	15141.5	205.6	1	-	2	-	0	0	0	0	0	0	0	0 + 1 part	3135	1.216	1.001	0.00	946.50	2369.95	14218	27047	12829	-	-	-	12150.8	165.0	2	-	-	-
flye-ont-polypolish-default	2	2	2	0	0	30182	30182	30182	0	0	2	15964	30182	2222430	52.61	51.36	15964	-	14218	-	15141.5	205.6	1	-	2	-	0	0	0	0	0	0	0	0 + 1 part	3135	1.216	1.001	0.00	946.50	2369.95	14218	27047	12829	-	-	-	12150.8	165.0	2	-	-	-
flye-ont-polypolish-careful	2	2	2	0	0	30182	30182	30182	0	0	2	15964	30182	2222430	52.61	51.36	15964	-	14218	-	15141.5	205.6	1	-	2	-	0	0	0	0	0	0	0	0 + 1 part	3135	1.216	1.001	0.00	946.50	2369.95	14218	27047	12829	-	-	-	12150.8	165.0	2	-	-	-
flye-hifi	24	24	24	17	6	943594	943594	943594	813144	447561	24	114846	943594	2222430	51.28	51.36	42220	-	20927	-	54424.7	23107.5	7	-	19	-	1	1	29549	1	0	0	0	0 + 1 part	805	42.403	1.000	0.00	10.29	68.52	114845	942755	42220	-	20044	-	53967.0	22913.2	7	-	20	-
