Assembly	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
spades-short-only	52	0	0	0	0	66394	0	0	0	0	52	2975	66394	5339179	66.17	68.08	1188	-	1021	-	1381.4	17.2	22	-	46	-	0	0	0	0	0	0	0	0 + 3 part	3877	1.110	1.000	269.60	260.00	37.14	2340	59231	1104	-	-	-	1098.4	13.7	24	-	-	-
spades-short-only_broken	43	0	0	0	0	53802	0	0	0	0	43	2975	53802	5339179	66.00	68.08	1180	-	1018	-	1363.2	13.7	18	-	38	-	0	0	0	0	0	0	0	0 + 3 part	3877	0.903	0.999	0.00	247.09	16.61	2340	48160	1060	-	-	-	1080.3	10.9	21	-	-	-
spades-illumina-ont	75	3	2	0	0	149391	31892	25203	0	0	75	14473	149391	5339179	66.90	68.08	1998	-	1078	-	4058.7	113.6	18	-	61	-	0	0	0	0	0	0	0	0 + 8 part	16897	2.422	1.007	93.04	597.68	693.71	10730	130169	1547	-	-	-	2591.5	72.5	25	-	-	-
spades-illumina-ont_broken	69	3	2	0	0	140812	31892	25203	0	0	69	14473	140812	5339179	66.96	68.08	2038	-	1058	-	4213.1	111.1	16	-	56	-	0	0	0	0	0	0	0	0 + 8 part	16897	2.272	1.007	0.00	618.83	730.15	10730	122166	1579	-	-	-	2664.9	70.3	23	-	-	-
spades-illumina-hifi	315	95	22	1	1	1449843	904565	384787	109950	109950	315	109950	1449843	5339179	67.17	68.08	6567	-	2077	-	14664.2	3982.0	64	-	217	-	6	6	30451	1	0	0	0	0 + 22 part	179833	23.603	1.001	25.31	330.96	99.11	16936	1261174	4845	-	-	-	5534.1	1502.8	90	-	-	-
spades-illumina-hifi_broken	312	94	22	1	1	1441895	896323	384787	109950	109950	312	109950	1441895	5339179	67.17	68.08	6564	-	2087	-	14706.7	3971.7	64	-	215	-	6	6	30451	1	0	0	0	0 + 23 part	179531	23.468	1.001	0.00	333.20	98.71	16936	1254190	4970	-	-	-	5543.4	1497.1	89	-	-	-
flye-ont	3	2	0	0	0	16546	12722	0	0	0	3	7526	16546	5339179	65.82	68.08	5196	-	3824	-	5938.7	18.4	2	-	3	-	0	0	0	0	0	0	0	1 + 0 part	5196	0.211	1.002	0.00	1222.21	2072.45	7470	11291	3821	-	-	-	4254.9	13.2	2	-	-	-
flye-ont-polypolish-default	3	2	0	0	0	16536	12712	0	0	0	3	7523	16536	5339179	65.84	68.08	5189	-	3824	-	5935.2	18.4	2	-	3	-	0	0	0	0	0	0	0	1 + 0 part	5189	0.211	1.002	0.00	1222.54	2046.42	7467	11288	3821	-	-	-	4254.7	13.2	2	-	-	-
flye-ont-polypolish-careful	3	2	0	0	0	16541	12717	0	0	0	3	7523	16541	5339179	65.83	68.08	5194	-	3824	-	5936.5	18.4	2	-	3	-	0	0	0	0	0	0	0	1 + 0 part	5194	0.211	1.002	0.00	1222.54	2046.42	7467	11288	3821	-	-	-	4253.4	13.2	2	-	-	-
flye-hifi	52	51	46	23	6	1560177	1557115	1517742	1096206	448738	52	99030	1560177	5339179	68.01	68.08	39398	-	17605	-	43811.4	12802.3	14	-	39	-	1	1	12413	0	0	0	0	0 + 0 part	0	29.138	1.003	0.00	8.46	54.62	99029	1559852	39397	-	17604	-	43754.3	12785.6	14	-	39	-
