Assembly	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
spades-short-only	416	118	19	0	0	1642504	921428	256348	0	0	416	18596	1642504	1838442	31.88	32.03	5345	5031	1852	-	6275.7	5606.8	99	118	301	-	3	3	26431	0	0	1	0	0 + 2 part	1356	88.991	1.002	106.18	83.23	12.69	18596	1638781	5320	4902	1824	-	6224.4	5561.0	100	119	305	-
spades-short-only_broken	481	94	14	0	0	1602830	703108	182319	0	0	481	17281	1602830	1838442	31.89	32.03	4571	3898	1654	-	5289.9	4612.0	115	143	358	-	3	3	22522	0	0	0	0	0 + 0 part	0	86.875	1.002	0.00	80.92	4.62	17259	1600313	4489	3823	1623	-	5247.9	4575.3	116	144	362	-
spades-illumina-ont	130	77	56	20	5	1754850	1609345	1454944	863795	340004	130	77871	1754850	1838442	31.97	32.03	23314	22465	6226	3867	31105.6	29691.3	21	23	72	88	6	5	210380	0	0	5	0	0 + 0 part	0	94.912	1.003	217.00	153.58	97.32	77871	1750914	23106	22349	6108	3744	28280.1	26994.3	23	25	77	94
spades-illumina-ont_broken	145	80	56	19	4	1746695	1570208	1395617	791186	285468	145	77871	1746695	1838442	31.97	32.03	22465	21351	4896	3353	29012.2	27564.4	23	25	81	101	6	5	176083	0	0	0	0	0 + 0 part	0	94.632	1.003	0.00	153.34	96.46	77871	1745798	21351	21036	4846	3266	26406.7	25088.9	25	27	85	106
spades-illumina-hifi	102	76	56	22	6	1770415	1704940	1559395	996945	436130	102	88483	1770415	1838442	31.96	32.03	30659	28606	8911	6870	35971.6	34640.6	18	20	60	68	5	4	175148	1	0	1	0	0 + 0 part	0	95.779	1.005	25.93	122.24	11.36	88232	1769530	28606	25465	8905	6565	32701.2	31491.2	20	22	63	72
spades-illumina-hifi_broken	107	78	57	20	6	1768977	1693123	1540002	934470	436130	107	88483	1768977	1838442	31.96	32.03	28606	28001	8649	6565	35218.9	33888.2	19	20	63	72	5	4	175148	1	0	0	0	0 + 0 part	0	95.719	1.005	0.00	122.20	11.03	88232	1768478	24850	24215	8197	6527	31957.1	30749.6	21	22	66	75
flye-ont	37	36	34	21	7	1347095	1342784	1327461	1118149	589494	37	171744	1347095	1838442	32.46	32.03	47685	38318	19438	-	63558.4	46571.6	9	15	26	-	1	1	171744	1	0	0	0	6 + 5 part	170002	62.889	1.017	0.00	681.01	2020.82	112087	1175462	42601	36031	-	-	48008.9	35177.9	11	17	-	-
flye-ont-polypolish-default	42	41	38	22	8	1494658	1490351	1465343	1206248	678197	42	171434	1494658	1838442	32.50	32.03	47641	39695	16298	-	63175.8	51362.1	10	14	29	-	1	1	171434	1	0	0	0	5 + 6 part	155728	71.224	1.021	0.00	581.77	1570.17	111958	1337308	43424	37621	-	-	48835.2	39703.1	11	16	-	-
flye-ont-polypolish-careful	41	40	37	22	8	1482043	1477736	1452727	1206316	678224	41	171443	1482043	1838442	32.49	32.03	47641	39693	19405	-	63611.6	51279.9	10	14	28	-	1	1	171443	1	0	0	0	5 + 6 part	155739	70.539	1.021	0.00	590.03	1592.91	111955	1324686	43426	37638	-	-	49147.4	39619.7	11	16	-	-
flye-hifi	8	8	8	8	7	1804939	1804939	1804939	1804939	1770726	8	593289	1804939	1838442	31.93	32.03	395465	395465	84768	84768	365971.0	359301.7	2	2	6	6	1	1	177238	0	0	0	0	0 + 0 part	0	98.014	1.002	0.00	2.44	11.19	593289	1804888	395416	395416	84767	84767	361922.6	355327.1	2	2	6	6
