Assembly	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
spades-short-only	290	138	61	10	0	2033980	1624271	1062739	312175	0	290	43346	2033980	2110355	48.58	48.46	10677	10046	3212	2563	13532.2	13042.5	57	61	189	212	1	1	8633	0	0	0	0	0 + 0 part	0	96.126	1.002	74.98	65.37	8.56	43346	2033084	10677	10046	3204	2483	13511.5	13022.5	57	61	190	213
spades-short-only_broken	365	143	46	3	0	2015329	1436431	736756	96043	0	365	39557	2015329	2110355	48.59	48.46	7856	7395	2533	1923	10102.6	9647.7	77	83	246	284	0	0	0	0	0	0	0	0 + 0 part	0	95.249	1.002	0.00	64.19	3.28	39557	2014429	7856	7395	2533	1915	10096.9	9642.2	77	83	246	285
spades-illumina-ont	112	80	64	32	9	2073737	1983906	1878397	1331756	541552	112	72929	2073737	2110355	48.56	48.46	31197	30725	10318	7309	34876.8	34271.6	22	23	63	67	2	2	53872	0	0	0	0	0 + 0 part	0	97.976	1.003	16.20	82.43	39.12	72929	2073341	30725	30158	10046	7309	34554.7	33955.1	22	23	65	68
spades-illumina-ont_broken	131	90	66	30	6	2071426	1962778	1795090	1183441	357857	131	72917	2071426	2110355	48.56	48.46	29224	28624	7309	6522	30792.2	30224.2	25	26	75	80	2	2	49073	0	0	0	0	0 + 0 part	0	97.861	1.003	0.00	82.09	37.86	72917	2070968	28624	28617	7309	6522	30478.8	29916.6	25	26	76	81
spades-illumina-hifi	83	68	62	31	11	2086643	2044032	2004787	1457302	775794	83	88490	2086643	2110355	48.58	48.46	34634	34634	14662	14643	43440.0	42952.0	18	18	53	54	2	2	53850	0	0	0	0	0 + 0 part	0	98.615	1.003	8.34	65.71	5.32	88490	2086441	34632	34632	14643	14116	43108.4	42624.0	18	18	54	55
spades-illumina-hifi_broken	90	69	62	30	11	2083740	2026135	1980075	1416768	774303	90	88490	2083740	2110355	48.58	48.46	34634	33352	14381	13726	42740.3	42201.3	18	19	54	56	2	2	53850	0	0	0	0	0 + 0 part	0	98.484	1.002	0.00	65.61	4.80	88490	2083541	34632	33346	14116	13586	42408.8	41873.9	18	19	55	57
flye-ont	34	33	27	16	3	896263	891433	843435	649908	173873	34	66152	896263	2110355	48.76	48.46	36582	-	14622	-	35829.8	15216.8	10	-	25	-	3	2	76213	0	0	0	0	3 + 11 part	198048	32.846	1.007	0.00	786.81	2253.65	54318	697756	24479	-	-	-	23267.1	9881.5	13	-	-	-
flye-ont-polypolish-default	45	43	32	16	3	1021800	1013261	921821	649628	173803	45	66101	1021800	2110355	48.78	48.46	32514	-	10061	-	33064.1	16009.1	12	-	32	-	6	4	150537	0	0	0	0	2 + 12 part	105342	43.009	1.008	0.00	672.68	1637.30	54320	915290	26750	-	-	-	24905.4	12058.8	14	-	-	-
flye-ont-polypolish-careful	44	42	31	16	3	1004510	995971	904538	649654	173797	44	66092	1004510	2110355	48.75	48.46	32519	-	10061	-	33336.7	15868.0	12	-	31	-	6	4	150580	0	0	0	0	2 + 11 part	103689	42.367	1.006	0.00	678.82	1656.42	54319	899653	26750	-	-	-	25091.7	11943.4	14	-	-	-
flye-hifi	27	27	27	22	15	2015055	2015055	2015055	1927754	1685392	27	235532	2015055	2110355	48.48	48.46	95291	95291	33101	27218	121269.6	115793.3	7	7	19	21	1	1	44488	0	0	0	0	0 + 0 part	0	94.316	1.012	0.00	1.69	35.45	235428	2014313	95290	95290	31864	26685	120743.0	115290.4	7	7	19	22
