Assembly	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
spades-short-only	15	15	14	14	9	1389468	1389468	1383756	1383756	1204333	15	301946	1389468	1394664	44.83	44.90	136043	136043	40023	40023	153346.7	152775.4	4	4	11	11	1	1	187887	1	0	0	0	0 + 0 part	0	99.553	1.001	9.36	7.27	0.50	301946	1389236	128578	128578	40023	40023	140929.0	140403.9	4	4	12	12
spades-short-only_broken	19	18	17	17	9	1389338	1385184	1379472	1379472	1073658	19	301946	1389338	1394664	44.83	44.90	136043	136043	36372	36372	134784.1	134269.4	4	4	14	14	1	1	142098	1	0	0	0	0 + 0 part	0	99.549	1.000	0.00	7.20	0.22	301946	1389025	79061	79061	36372	36372	127582.7	127095.4	5	5	15	15
spades-illumina-ont	8	8	8	8	8	1392119	1392119	1392119	1392119	1392119	8	332521	1392119	1394664	44.87	44.90	213665	213665	78498	78498	229066.5	228648.5	3	3	6	6	1	1	332521	0	0	1	0	0 + 0 part	0	99.730	1.001	24.50	21.49	1.08	301946	1391609	213324	213324	78498	78498	200004.2	199639.3	3	3	7	7
spades-illumina-ont_broken	9	9	9	9	9	1391778	1391778	1391778	1391778	1391778	9	332521	1391778	1394664	44.87	44.90	180704	180704	74727	74727	214135.0	213691.8	3	3	7	7	1	1	332521	0	0	0	0	0 + 0 part	0	99.730	1.001	0.00	21.49	1.08	301946	1391609	180676	180676	74727	74727	185170.2	184787.0	3	3	8	8
spades-illumina-hifi	8	8	8	8	8	1392172	1392172	1392172	1392172	1392172	8	332574	1392172	1394664	44.87	44.90	213665	213665	78498	78498	229083.1	228673.7	3	3	6	6	1	1	332574	0	0	1	0	0 + 0 part	0	99.742	1.001	24.49	13.44	0.86	301946	1391803	213324	213324	78498	78498	200067.1	199709.7	3	3	7	7
spades-illumina-hifi_broken	9	9	9	9	9	1391831	1391831	1391831	1391831	1391831	9	332574	1391831	1394664	44.87	44.90	180704	180704	74727	74727	214152.1	213717.1	3	3	7	7	1	1	332574	0	0	0	0	0 + 0 part	0	99.742	1.001	0.00	13.44	0.86	301946	1391803	180676	180676	74727	74727	185233.7	184857.4	3	3	8	8
flye-ont	1	1	1	1	1	1394050	1394050	1394050	1394050	1394050	1	1394050	1394050	1394664	44.82	44.90	1394050	1394050	1394050	1394050	1394050.0	1393436.3	1	1	1	1	1	1	1394050	0	0	0	0	0 + 0 part	0	100.000	1.000	0.00	103.44	556.87	1109659	1394047	1109659	1109659	284388	284388	941300.3	940885.9	1	1	2	2
flye-ont-polypolish-default	1	1	1	1	1	1394933	1394933	1394933	1394933	1394933	1	1394933	1394933	1394664	44.89	44.90	1394933	1394933	1394933	1394933	1394933.0	1395202.1	1	1	1	1	1	1	1394933	0	0	0	0	0 + 0 part	0	100.000	1.000	0.00	11.18	54.27	1110335	1394930	1110335	1110335	284595	284595	941864.7	942046.3	1	1	2	2
flye-ont-polypolish-careful	1	1	1	1	1	1394875	1394875	1394875	1394875	1394875	1	1394875	1394875	1394664	44.89	44.90	1394875	1394875	1394875	1394875	1394875.0	1395086.0	1	1	1	1	1	1	1394875	0	0	0	0	0 + 0 part	0	100.000	1.000	0.00	14.05	63.16	1110281	1394872	1110281	1110281	284591	284591	941816.2	941958.7	1	1	2	2
flye-hifi	1	1	1	1	1	1394508	1394508	1394508	1394508	1394508	1	1394508	1394508	1394664	44.90	44.90	1394508	1394508	1394508	1394508	1394508.0	1394352.0	1	1	1	1	1	1	1394508	0	0	0	0	0 + 0 part	0	99.954	1.000	0.00	0.72	0.36	1314515	1394508	1314515	1314515	1314515	1314515	1243699.3	1243560.1	1	1	1	1
