Assembly	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
spades-short-only	1	0	0	0	0	1329	0	0	0	0	1	1329	1329	5751492	33.33	42.68	1329	-	1329	-	1329.0	0.3	1	-	1	-	0	0	0	0	0	0	0	0 + 0 part	0	0.023	1.000	0.00	827.69	0.00	1329	1329	1329	-	1329	-	1329.0	0.3	1	-	1	-
spades-short-only_broken	1	0	0	0	0	1329	0	0	0	0	1	1329	1329	5751492	33.33	42.68	1329	-	1329	-	1329.0	0.3	1	-	1	-	0	0	0	0	0	0	0	0 + 0 part	0	0.023	1.000	0.00	827.69	0.00	1329	1329	1329	-	1329	-	1329.0	0.3	1	-	1	-
spades-illumina-ont	1	0	0	0	0	1329	0	0	0	0	1	1329	1329	5751492	33.33	42.68	1329	-	1329	-	1329.0	0.3	1	-	1	-	0	0	0	0	0	0	0	0 + 0 part	0	0.023	1.000	0.00	827.69	0.00	1329	1329	1329	-	1329	-	1329.0	0.3	1	-	1	-
spades-illumina-ont_broken	1	0	0	0	0	1329	0	0	0	0	1	1329	1329	5751492	33.33	42.68	1329	-	1329	-	1329.0	0.3	1	-	1	-	0	0	0	0	0	0	0	0 + 0 part	0	0.023	1.000	0.00	827.69	0.00	1329	1329	1329	-	1329	-	1329.0	0.3	1	-	1	-
spades-illumina-hifi	1	0	0	0	0	1329	0	0	0	0	1	1329	1329	5751492	33.33	42.68	1329	-	1329	-	1329.0	0.3	1	-	1	-	0	0	0	0	0	0	0	0 + 0 part	0	0.023	1.000	0.00	827.69	0.00	1329	1329	1329	-	1329	-	1329.0	0.3	1	-	1	-
spades-illumina-hifi_broken	1	0	0	0	0	1329	0	0	0	0	1	1329	1329	5751492	33.33	42.68	1329	-	1329	-	1329.0	0.3	1	-	1	-	0	0	0	0	0	0	0	0 + 0 part	0	0.023	1.000	0.00	827.69	0.00	1329	1329	1329	-	1329	-	1329.0	0.3	1	-	1	-
