Assembly	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
spades-short-only	42	30	29	24	14	2127278	2101850	2093381	2000903	1659509	42	488962	2127278	2180101	26.96	27.14	87105	87105	28290	26605	177278.6	172983.2	6	6	21	23	1	1	69604	0	0	1	0	0 + 0 part	0	97.532	1.000	4.70	3.53	0.52	488962	2127178	87105	87105	27202	25426	176534.8	172257.4	6	6	22	24
spades-short-only_broken	43	30	29	24	14	2127178	2099908	2093381	2000903	1659509	43	488962	2127178	2180101	26.96	27.14	87105	87105	28290	26605	177274.8	172971.4	6	6	21	23	1	1	69604	0	0	0	0	0 + 0 part	0	97.528	1.000	0.00	3.53	0.52	488962	2127178	87105	87105	27202	25426	176531.8	172246.4	6	6	22	24
spades-illumina-ont	1	1	1	1	1	2173778	2173778	2173778	2173778	2173778	1	2173778	2173778	2180101	27.10	27.14	2173778	2173778	2173778	2173778	2173778.0	2167473.3	1	1	1	1	1	1	2173778	0	0	5	0	0 + 0 part	0	99.499	1.000	206.55	10.93	0.97	1410029	2169318	1410029	1410029	759289	759289	1179836.0	1176414.1	1	1	2	2
spades-illumina-ont_broken	9	8	8	8	7	2169288	2167658	2167658	2167658	2128837	9	1041252	2169288	2180101	27.10	27.14	272958	272958	141007	141007	603962.2	600966.7	2	2	6	6	1	1	141007	0	0	0	0	0 + 0 part	0	99.427	1.001	0.00	10.88	0.83	1041252	2169288	272958	272958	85659	85659	599591.2	596617.3	2	2	6	6
spades-illumina-hifi	1	1	1	1	1	2180298	2180298	2180298	2180298	2180298	1	2180298	2180298	2180101	27.09	27.14	2180298	2180298	2180298	2180298	2180298.0	2180495.0	1	1	1	1	1	1	2180298	0	0	3	0	0 + 0 part	0	99.759	1.000	241.11	10.25	0.87	1760846	2175005	1760846	1760846	414159	414159	1500761.0	1500896.7	1	1	2	2
spades-illumina-hifi_broken	5	5	5	5	5	2175041	2175041	2175041	2175041	2175041	5	749422	2175041	2180101	27.09	27.14	681572	681572	203392	203392	592118.8	590744.5	2	2	4	4	1	1	749422	0	0	0	0	0 + 0 part	0	99.759	1.000	0.00	10.25	0.83	681572	2174995	462924	462924	203392	203392	464426.9	463349.0	2	2	5	5
flye-ont	1	1	1	1	1	2176957	2176957	2176957	2176957	2176957	1	2176957	2176957	2180101	27.21	27.14	2176957	2176957	2176957	2176957	2176957.0	2173817.5	1	1	1	1	1	1	2176957	0	0	0	0	0 + 0 part	0	99.999	0.999	0.00	42.08	572.87	1878647	2176927	1878647	1878647	298280	298280	1662084.1	1659687.1	1	1	2	2
flye-ont-polypolish-default	1	1	1	1	1	2179944	2179944	2179944	2179944	2179944	1	2179944	2179944	2180101	27.14	27.14	2179944	2179944	2179944	2179944	2179944.0	2179787.0	1	1	1	1	1	1	2179944	0	0	0	0	0 + 0 part	0	99.999	1.000	0.00	12.80	26.61	1881306	2179914	1881306	1881306	298608	298608	1664482.7	1664362.8	1	1	2	2
flye-ont-polypolish-careful	1	1	1	1	1	2179889	2179889	2179889	2179889	2179889	1	2179889	2179889	2180101	27.14	27.14	2179889	2179889	2179889	2179889	2179889.0	2179677.0	1	1	1	1	1	1	2179889	0	0	0	0	0 + 0 part	0	99.999	1.000	0.00	14.82	43.44	1881259	2179859	1881259	1881259	298600	298600	1664441.3	1664279.5	1	1	2	2
flye-hifi	1	1	1	1	1	2180123	2180123	2180123	2180123	2180123	1	2180123	2180123	2180101	27.14	27.14	2180123	2180123	2180123	2180123	2180123.0	2180145.0	1	1	1	1	1	1	2180123	0	0	0	0	0 + 0 part	0	100.000	1.000	0.00	5.14	0.69	2051426	2180123	2051426	2051426	2051426	2051426	1937923.5	1937943.0	1	1	1	1
