Assembly	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
spades-short-only	834	150	39	2	0	2876759	1338291	602038	54350	0	834	28900	2876759	5312910	45.66	46.27	4517	1379	1548	-	6789.0	3676.0	171	645	599	-	4	4	57731	0	1	66	0	0 + 2 part	3848	53.290	1.012	290.08	553.29	10.64	28900	2865764	4389	1349	1521	-	6586.4	3566.3	176	657	610	-
spades-short-only_broken	962	141	30	1	0	3047746	1184300	436314	28900	0	962	28900	3047746	5312910	45.65	46.27	3868	1649	1520	-	5686.4	3262.0	219	658	712	-	4	4	41165	0	0	0	0	0 + 0 part	0	56.681	1.012	0.00	559.39	9.15	28900	3047627	3861	1648	1519	-	5628.9	3229.0	221	661	716	-
spades-illumina-ont	529	204	120	45	9	4389351	3674349	3073166	1899690	635679	529	130354	4389351	5312910	45.98	46.27	20824	13909	3147	-	28093.2	23209.7	58	85	274	-	9	8	287732	5	1	166	4	0 + 20 part	296297	70.359	1.074	1650.70	906.02	24.41	75191	4015121	13999	9897	1182	-	18903.9	15617.7	81	121	488	-
spades-illumina-ont_broken	715	209	87	17	1	3669393	2524497	1662280	539867	56860	715	56860	3669393	5312910	45.91	46.27	8787	4340	1998	-	12868.7	8887.9	106	238	455	-	5	5	70318	0	0	0	1	0 + 1 part	37948	65.481	1.044	0.00	782.01	18.15	40824	3630497	8480	4172	1884	-	11851.2	8185.1	113	251	481	-
spades-illumina-hifi	442	211	154	72	35	6806520	6294464	5880281	4561357	3251221	442	248235	6806520	5312910	46.18	46.27	46264	62602	7103	21829	68635.2	87930.5	39	25	183	82	40	12	1233998	17	5	328	6	0 + 37 part	740193	80.367	1.294	7872.36	1137.66	29.46	99176	5523537	18373	27094	-	5887	27498.6	35229.2	86	54	-	211
spades-illumina-hifi_broken	757	225	107	26	6	4381693	3137470	2292133	1052521	368016	757	83279	4381693	5312910	46.10	46.27	10764	7637	2214	-	17781.3	14664.7	98	149	467	-	3	3	105137	1	0	0	0	0 + 2 part	10704	71.583	1.149	0.00	892.23	20.16	63901	4370734	10679	7621	2192	-	17021.4	14038.0	99	151	474	-
flye-ont	51	48	39	31	15	5857199	5845048	5777283	5671420	5123584	51	842750	5857199	5312910	46.25	46.27	672372	672372	38621	115333	488324.3	538351.4	4	4	19	12	83	14	4895362	47	0	0	2	1 + 23 part	740795	91.769	1.049	0.00	1490.71	455.26	274205	5116225	75853	98973	-	13986	97771.8	107788.2	21	17	-	72
flye-ont-polypolish-default	51	48	38	30	15	5827574	5815423	5740246	5634448	5131471	51	844096	5827574	5312910	46.22	46.27	673460	673460	38634	115538	492040.2	539704.3	4	4	18	12	86	15	4941391	49	0	0	0	1 + 21 part	607147	93.189	1.054	0.00	1503.89	191.66	274728	5220201	78447	99082	-	18153	100534.6	110273.4	20	17	-	66
flye-ont-polypolish-careful	52	49	39	31	15	5872641	5860491	5785260	5679395	5131238	52	844043	5872641	5312910	46.20	46.27	673432	673432	38637	115524	488572.8	540045.5	4	4	19	12	83	14	4902980	46	0	0	2	1 + 24 part	674021	93.043	1.052	0.00	1512.28	243.65	274615	5198442	78040	99109	-	16857	99174.1	109622.4	21	17	-	67
flye-hifi	5	4	4	4	3	5416371	5412672	5412672	5412672	5381616	5	5210076	5416371	5312910	46.23	46.27	5210076	5210076	5210076	5210076	5014537.6	5112188.2	1	1	1	1	4	2	5293301	1	0	0	1	0 + 1 part	45354	100.000	1.011	0.00	10.43	0.48	3587058	5371017	3587058	3587058	675670	675670	2626031.1	2677169.1	1	1	3	3
