Assembly	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
spades-short-only	215	139	94	26	5	2618218	2399749	2087625	1029245	274087	215	59259	2618218	2664102	55.76	55.76	20351	20086	5732	5067	24405.2	23984.8	39	40	132	139	1	1	22246	0	0	0	0	0 + 0 part	0	98.092	1.001	47.02	60.12	5.62	59259	2616626	20086	20040	5692	4974	24323.7	23904.7	39	40	133	140
spades-short-only_broken	296	165	92	17	4	2605760	2247704	1725416	641464	217391	296	59259	2605760	2664102	55.75	55.76	13192	13023	3941	3487	18455.7	18051.5	56	58	187	201	1	1	12426	0	0	0	0	0 + 0 part	0	97.606	1.001	0.00	58.79	1.77	59259	2604004	13192	13023	3941	3487	18407.9	18004.8	56	58	188	202
spades-illumina-ont	57	43	42	30	18	2645797	2602610	2597543	2409079	1957922	57	196265	2645797	2664102	55.75	55.76	96557	96557	27122	26096	105109.4	104387.2	9	9	29	30	2	2	213237	0	0	0	0	0 + 0 part	0	99.091	1.002	0.38	87.84	14.03	196049	2644461	89305	89305	22713	22713	99726.3	99041.1	10	10	31	31
spades-illumina-ont_broken	57	43	42	30	18	2645511	2602610	2597543	2409079	1957922	57	196265	2645511	2664102	55.75	55.76	96557	96557	27122	26096	105120.4	104386.9	9	9	29	30	2	2	213237	0	0	0	0	0 + 0 part	0	99.081	1.002	0.00	87.85	13.99	196049	2644175	89305	89305	22713	22713	99736.8	99040.8	10	10	31	31
spades-illumina-hifi	58	46	45	32	18	2647047	2609188	2604121	2400002	1880215	58	196268	2647047	2664102	55.75	55.76	96550	89199	25369	25369	100845.3	100199.7	9	10	32	32	1	1	27122	0	0	0	0	0 + 0 part	0	99.080	1.002	0.00	76.57	1.59	196052	2645888	96488	89199	22713	21230	100650.9	100006.5	9	10	32	33
spades-illumina-hifi_broken	58	46	45	32	18	2647047	2609188	2604121	2400002	1880215	58	196268	2647047	2664102	55.75	55.76	96550	89199	25369	25369	100845.3	100199.7	9	10	32	32	1	1	27122	0	0	0	0	0 + 0 part	0	99.080	1.002	0.00	76.57	1.59	196052	2645888	96488	89199	22713	21230	100650.9	100006.5	9	10	32	33
flye-ont	12	11	11	11	8	2660241	2655358	2655358	2655358	2563888	12	924316	2660241	2664102	55.82	55.76	481243	481243	124127	124127	508669.7	507932.5	2	2	7	7	3	2	1216502	0	0	0	0	0 + 1 part	1548	99.438	1.001	0.00	394.93	1166.77	604425	2651584	313229	313229	122579	122579	353955.4	353442.5	3	3	8	8
flye-ont-polypolish-default	12	11	11	11	8	2664152	2659264	2659264	2659264	2567695	12	925938	2664152	2664102	55.82	55.76	481733	481733	124355	124355	509517.7	509527.3	2	2	7	7	3	2	1218630	0	0	0	0	0 + 1 part	1546	99.438	1.002	0.00	223.01	568.26	605569	2655472	313682	313682	122809	122809	354506.7	354513.4	3	3	8	8
flye-ont-polypolish-careful	12	11	11	11	8	2664125	2659237	2659237	2659237	2567664	12	925926	2664125	2664102	55.82	55.76	481741	481741	124358	124358	509511.7	509516.1	2	2	7	7	3	2	1218605	0	0	0	0	0 + 1 part	1548	99.438	1.002	0.00	226.89	579.41	605572	2655454	313678	313678	122810	122810	354507.7	354510.8	3	3	8	8
flye-hifi	1	1	1	1	1	2664203	2664203	2664203	2664203	2664203	1	2664203	2664203	2664102	55.76	55.76	2664203	2664203	2664203	2664203	2664203.0	2664304.0	1	1	1	1	1	1	2664203	0	0	0	0	0 + 0 part	0	99.971	1.000	0.00	33.53	2.97	1486907	2663421	1486907	1486907	1176514	1176514	1349400.8	1349451.9	1	1	2	2
