Assembly	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
spades-short-only	1256	69	3	0	0	3030139	444026	38743	0	0	1256	15811	3030139	3814128	61.02	60.94	2735	2249	1319	-	3254.1	2585.3	365	522	995	-	5	5	24867	2	0	2	0	0 + 5 part	3677	78.881	1.002	202.53	117.85	16.69	15811	3013896	2707	2214	1297	-	3216.5	2555.4	368	528	1007	-
spades-short-only_broken	1292	40	2	0	0	2858835	256485	25176	0	0	1292	13695	2858835	3814128	61.03	60.94	2485	1915	1261	-	2899.3	2173.2	391	610	1038	-	4	4	16849	2	0	0	0	0 + 1 part	1194	74.588	1.002	0.00	113.71	6.28	13695	2849276	2457	1895	1245	-	2875.2	2155.1	395	616	1048	-
spades-illumina-ont	607	245	105	5	0	3580364	2660862	1641309	160893	0	607	39466	3580364	3814128	61.01	60.94	9281	8789	2678	1720	10949.2	10278.2	121	134	398	494	4	4	42856	2	0	0	0	0 + 5 part	33392	92.446	1.004	36.23	237.46	189.94	39466	3541648	9041	8639	2541	1470	10664.9	10011.3	124	137	414	521
spades-illumina-ont_broken	634	242	103	4	0	3543725	2560860	1556393	116681	0	634	33421	3543725	3814128	61.02	60.94	8980	8332	2573	1412	10290.2	9560.6	126	142	416	541	3	3	20139	2	0	0	0	0 + 4 part	32605	91.529	1.004	0.00	238.18	189.13	33421	3506577	8834	8150	2394	1269	10079.2	9364.7	128	144	432	572
spades-illumina-hifi	361	190	129	36	6	3720514	3296294	2857660	1366272	360563	361	79015	3720514	3814128	61.07	60.94	20169	19296	4427	3818	23496.2	22919.5	59	61	202	222	5	5	126292	1	0	0	0	0 + 5 part	28402	96.350	1.004	20.72	135.68	15.34	59780	3688741	19988	18719	4108	3482	22396.3	21846.6	60	62	212	234
spades-illumina-hifi_broken	369	189	126	35	6	3700797	3253705	2798665	1326721	360563	369	79015	3700797	3814128	61.08	60.94	19992	18715	4197	3482	23157.9	22469.8	59	62	206	233	5	5	126292	1	0	0	0	0 + 4 part	27383	95.865	1.004	0.00	135.60	14.30	59780	3670229	19294	18696	4046	3112	22054.7	21399.4	60	63	217	245
flye-ont	98	89	61	7	0	1321466	1286501	1081200	247186	0	98	49698	1321466	3814128	60.35	60.94	16331	-	7360	-	18623.3	6452.3	29	-	74	-	2	2	70946	0	0	0	0	1 + 9 part	89842	31.932	1.010	0.00	721.16	1857.26	33873	1229551	15034	-	5025	-	14995.0	5195.3	33	-	89	-
flye-ont-polypolish-default	105	95	64	8	0	1410532	1371182	1140565	272134	0	105	49623	1410532	3814128	60.53	60.94	16339	-	7347	-	18504.5	6843.3	31	-	79	-	3	3	87096	0	0	0	1	0 + 8 part	50461	35.274	1.009	0.00	666.02	1616.99	33859	1357771	15232	-	5922	-	15661.6	5791.9	35	-	89	-
flye-ont-polypolish-careful	105	95	64	8	0	1410570	1371220	1140596	272160	0	105	49645	1410570	3814128	60.53	60.94	16339	-	7347	-	18505.9	6844.0	31	-	79	-	3	3	87092	0	0	0	1	0 + 8 part	50478	35.274	1.009	0.00	667.04	1619.76	33860	1357792	15232	-	5922	-	15661.6	5792.1	35	-	89	-
flye-hifi	54	53	53	40	28	3340664	3337572	3337572	3107135	2633061	54	209217	3340664	3814128	60.86	60.94	82897	75269	32237	-	91320.7	79984.6	14	18	37	-	15	9	694539	0	0	0	0	0 + 0 part	0	86.749	1.009	0.00	1.98	47.13	209216	3339763	73653	69872	30378	-	83070.0	72758.2	16	20	42	-
