FMTOutcome	Source	Events	TotalEvents	EventFraction	Cases
Resolved	Donor	167	314	0.53184713	18
Resolved	Self	76	314	0.24203822	18
Resolved	Both	23	314	0.07324841	18
Resolved	Unique	48	314	0.15286624	18
Failed	Donor	40	94	0.42553191	6
Failed	Self	43	94	0.45744681	6
Failed	Both	2	94	0.0212766	6
Failed	Unique	9	94	0.09574468	6
