Species	Pair	TimePoint	IntraPairSimilarityPct	IntraPairDivergencePct	ClosestOtherDivergencePct	ClosestOtherQualifier	AverageOtherDivergencePct	ReportedP	SequenceEvidence	IndependentGeneContentEvidence
Bifidobacterium bifidum	4	T2	99.96	0.04	0.6	at least	NA	4.7e-40	StrainPhlAn species-specific marker SNVs	PanPhlAn Figure S5
Coprococcus comes	5	reported shared time point	99.87	0.13	1.6	reported closest	1.61	1.9e-3	StrainPhlAn species-specific marker SNVs	PanPhlAn Figure S5
Ruminococcus bromii	5	reported shared time point	99.93	0.07	1.53	reported closest	2.63	4.9e-8	StrainPhlAn species-specific marker SNVs	PanPhlAn Figure S5
