Label	ExitStatus	Command	Stdout	Stderr	TimeLog
transmission-primary	0	conda run -n metagenome-strain-transmission-2026.07 python ${PROJECT_ROOT}/scripts/summarize_article53_transmission.py --project-root ${PROJECT_ROOT} --work-dir ${ARTICLE53_WORK_DIR} --output-dir ${ARTICLE53_WORK_DIR}/summary	${ARTICLE53_WORK_DIR}/logs/transmission-primary.stdout.log	${ARTICLE53_WORK_DIR}/logs/transmission-primary.stderr.log	${ARTICLE53_WORK_DIR}/logs/transmission-primary.time.txt
transmission-replay	0	conda run -n metagenome-strain-transmission-2026.07 python ${PROJECT_ROOT}/scripts/summarize_article53_transmission.py --project-root ${PROJECT_ROOT} --work-dir ${ARTICLE53_WORK_DIR} --output-dir ${ARTICLE53_WORK_DIR}/replay-summary	${ARTICLE53_WORK_DIR}/logs/transmission-replay.stdout.log	${ARTICLE53_WORK_DIR}/logs/transmission-replay.stderr.log	${ARTICLE53_WORK_DIR}/logs/transmission-replay.time.txt
