Asset	SourceFile	ExpectedBytes	ObservedBytes	ExpectedSHA256	ObservedSHA256	ChecksumPass
Mother-infant sample design (Table S1)	input/sys001172080st8.xlsx	10992	10992	8aa0eb1e386eb78b983fac927a1ba1ab2099956570688704d3f9a8a6ca7299a3	8aa0eb1e386eb78b983fac927a1ba1ab2099956570688704d3f9a8a6ca7299a3	True
Mother-infant MetaPhlAn2 profile (Table S2)	input/sys001172080st9.xlsx	118131	118131	12b5dc05b3237b65512c3221812dffef9b749287f46af32ca9d983835c0e9144	12b5dc05b3237b65512c3221812dffef9b749287f46af32ca9d983835c0e9144	True
Mother-infant full-text methods and reported strain evidence	input/PMC5264247.xml	201829	201829	1891a7c22bcb3616e77dd94757f1ef6be6b2a04bd7271a0deea1c4a87a8d17bf	1891a7c22bcb3616e77dd94757f1ef6be6b2a04bd7271a0deea1c4a87a8d17bf	True
SameStr FMT supplementary workbook (Tables S1-S11)	input/40168_2022_1251_MOESM7_ESM.xlsx	168598	168598	0f51d05906a2a574970070cab4302204c0f04c2a040bce5d923cd921d91ce757	0f51d05906a2a574970070cab4302204c0f04c2a040bce5d923cd921d91ce757	True
SameStr full-text methods	input/PMC8951724.xml	141847	141847	382a06a553b33b4e6edbcdba900f476986794d699eced2d00ad96caa62219411	382a06a553b33b4e6edbcdba900f476986794d699eced2d00ad96caa62219411	True
