Resolution	CompleteCases	PrePostMedian	PrePostQ1	PrePostQ3	DonorPostMedian	DonorPostQ1	DonorPostQ3	MedianPairedDifference	DonorGreater	Equal	DonorLess	ExactTwoSidedSignP
Strain	25	4.0	3.0	8.0	15.0	10.0	18.0	8.0	19	1	5	0.006610751152
Species	25	45.0	28.0	52.0	67.0	49.0	75.0	25.0	22	0	3	0.000156521797
