ThresholdPctExclusive	ThresholdLabel	Infant	InfantPair	TimePoint	CandidateMothers	UnrelatedNegativeControls	MatchedMother	MatchedJaccard	MatchedRank	TopTieSize	RankedFirstIncludingTies	UniquelyRankedFirst
0.0	>0%	MV_FEI1_t1Q14	1	T1	5	4	MV_FEM1_t1Q14	0.04395604	5	1	False	False
0.0	>0%	MV_FEI2_t1Q14	2	T1	5	4	MV_FEM2_t1Q14	0.08235294	2	1	False	False
0.0	>0%	MV_FEI3_t1Q14	3	T1	5	4	MV_FEM3_t1Q14	0.07070707	3	1	False	False
0.0	>0%	MV_FEI4_t1Q14	4	T1	5	4	MV_FEM4_t1Q14	0.07142857	1	1	True	True
0.0	>0%	MV_FEI4_t2F15	4	T2	2	1	MV_FEM4_t2F15	0.10465116	1	1	True	True
0.0	>0%	MV_FEI5_t1Q14	5	T1	5	4	MV_FEM5_t1Q14	0.04040404	4	1	False	False
0.0	>0%	MV_FEI5_t2Q14	5	T2	2	1	MV_FEM5_t2Q14	0.20430108	2	1	False	False
0.0	>0%	MV_FEI5_t3Q15	5	T3	1	0	MV_FEM5_t3Q15	0.33009709	1	1	True	True
0.01	>0.01%	MV_FEI1_t1Q14	1	T1	5	4	MV_FEM1_t1Q14	0.05333333	4	1	False	False
0.01	>0.01%	MV_FEI2_t1Q14	2	T1	5	4	MV_FEM2_t1Q14	0.09722222	1	1	True	True
0.01	>0.01%	MV_FEI3_t1Q14	3	T1	5	4	MV_FEM3_t1Q14	0.04761905	3	1	False	False
0.01	>0.01%	MV_FEI4_t1Q14	4	T1	5	4	MV_FEM4_t1Q14	0.08163265	1	1	True	True
0.01	>0.01%	MV_FEI4_t2F15	4	T2	2	1	MV_FEM4_t2F15	0.08064516	1	1	True	True
0.01	>0.01%	MV_FEI5_t1Q14	5	T1	5	4	MV_FEM5_t1Q14	0.03896104	3	1	False	False
0.01	>0.01%	MV_FEI5_t2Q14	5	T2	2	1	MV_FEM5_t2Q14	0.1971831	1	1	True	True
0.01	>0.01%	MV_FEI5_t3Q15	5	T3	1	0	MV_FEM5_t3Q15	0.32098765	1	1	True	True
0.1	>0.1%	MV_FEI1_t1Q14	1	T1	5	4	MV_FEM1_t1Q14	0.02173913	5	1	False	False
0.1	>0.1%	MV_FEI2_t1Q14	2	T1	5	4	MV_FEM2_t1Q14	0.04166667	2	1	False	False
0.1	>0.1%	MV_FEI3_t1Q14	3	T1	5	4	MV_FEM3_t1Q14	0.01886792	5	1	False	False
0.1	>0.1%	MV_FEI4_t1Q14	4	T1	5	4	MV_FEM4_t1Q14	0.11764706	1	1	True	True
0.1	>0.1%	MV_FEI4_t2F15	4	T2	2	1	MV_FEM4_t2F15	0.05263158	1	1	True	True
0.1	>0.1%	MV_FEI5_t1Q14	5	T1	5	4	MV_FEM5_t1Q14	0.02	3	1	False	False
0.1	>0.1%	MV_FEI5_t2Q14	5	T2	2	1	MV_FEM5_t2Q14	0.16666667	1	1	True	True
0.1	>0.1%	MV_FEI5_t3Q15	5	T3	1	0	MV_FEM5_t3Q15	0.30508475	1	1	True	True
1.0	>1%	MV_FEI1_t1Q14	1	T1	5	4	MV_FEM1_t1Q14	0.0	2	1	False	False
1.0	>1%	MV_FEI2_t1Q14	2	T1	5	4	MV_FEM2_t1Q14	0.0	1	5	True	False
1.0	>1%	MV_FEI3_t1Q14	3	T1	5	4	MV_FEM3_t1Q14	0.0	2	1	False	False
1.0	>1%	MV_FEI4_t1Q14	4	T1	5	4	MV_FEM4_t1Q14	0.07692308	2	1	False	False
1.0	>1%	MV_FEI4_t2F15	4	T2	2	1	MV_FEM4_t2F15	0.06666667	1	1	True	True
1.0	>1%	MV_FEI5_t1Q14	5	T1	5	4	MV_FEM5_t1Q14	0.0	1	5	True	False
1.0	>1%	MV_FEI5_t2Q14	5	T2	2	1	MV_FEM5_t2Q14	0.03225806	1	1	True	True
1.0	>1%	MV_FEI5_t3Q15	5	T3	1	0	MV_FEM5_t3Q15	0.16	1	1	True	True
